Sample:

Comments:

Date: 
08.05.2026
Time: 
14:56:18
Settings at:


Variable1:
 VIN   -Ch1 
 Linear sweep
 Start      -1.0000V
 Stop        1.0000V
 Step         .0100V

Constants:
 VOUT  -Ch2   .0000V
 IINS  -Ch3   .000 A
 IOUTS -Ch4   .000 A


VIN   -Ch1 IIN   -Ch1 IOUT  -Ch2 VINS  -Ch3 VOUTS -Ch4 
    .3200V    99.96mA   -99.96mA     .0930V     .0560V
    .3300V    99.96mA   -99.96mA     .0940V     .0560V
    .3400V    99.96mA   -99.96mA     .0930V     .0550V
    .3500V    99.96mA   -99.96mA     .0940V     .0550V
    .3600V    99.96mA   -99.96mA     .0930V     .0560V
    .3700V    99.96mA   -99.96mA     .0940V     .0560V
    .3800V    99.96mA   -99.96mA     .0940V     .0560V
    .3900V    99.96mA   -99.96mA     .0940V     .0560V
    .4000V    99.96mA   -99.96mA     .0940V     .0560V
    .4100V    99.96mA   -99.96mA     .0930V     .0560V
    .4200V    99.96mA   -99.96mA     .0940V     .0560V
    .4300V    99.96mA   -99.96mA     .0930V     .0560V
    .4400V    99.96mA   -99.96mA     .0940V     .0560V
    .4500V    99.96mA   -99.96mA     .0940V     .0560V
    .4600V    99.96mA   -99.96mA     .0930V     .0560V
    .4700V    99.96mA   -99.96mA     .0930V     .0560V
    .4800V    99.96mA   -99.96mA     .0940V     .0560V
    .4900V    99.96mA   -99.96mA     .0940V     .0560V
    .5000V    99.96mA   -99.96mA     .0940V     .0560V
    .5100V    99.96mA   -99.96mA     .0940V     .0560V
    .5200V    99.96mA   -99.96mA     .0940V     .0560V
    .5300V    99.96mA   -99.96mA     .0930V     .0560V
    .5400V    99.96mA   -99.96mA     .0940V     .0560V
    .5500V    99.96mA   -99.96mA     .0940V     .0560V
    .5600V    99.96mA   -99.96mA     .0940V     .0560V
    .5700V    99.96mA   -99.96mA     .0940V     .0560V
    .5800V    99.96mA   -99.96mA     .0940V     .0560V
    .5900V    99.96mA   -99.96mA     .0940V     .0560V
    .6000V    99.96mA   -99.96mA     .0930V     .0560V
    .6100V    99.96mA   -99.96mA     .0940V     .0560V
    .6200V    99.96mA   -99.96mA     .0940V     .0560V
    .6300V    99.96mA   -99.96mA     .0930V     .0560V
    .6400V    99.96mA   -99.96mA     .0940V     .0560V
    .6500V    99.96mA   -99.96mA     .0940V     .0560V
    .6600V    99.96mA   -99.96mA     .0940V     .0560V
    .6700V    99.96mA   -99.96mA     .0930V     .0560V
    .6800V    99.96mA   -99.96mA     .0930V     .0560V
    .6900V    99.96mA   -99.96mA     .0940V     .0560V
    .7000V    99.96mA   -99.96mA     .0930V     .0560V
    .7100V    99.96mA   -99.96mA     .0930V     .0560V
    .7200V    99.96mA   -99.96mA     .0930V     .0560V
    .7300V    99.96mA   -99.96mA     .0940V     .0560V
    .7400V    99.96mA   -99.96mA     .0940V     .0560V
    .7500V    99.96mA   -99.96mA     .0940V     .0560V
    .7600V    99.96mA   -99.96mA     .0940V     .0560V
    .7700V    99.96mA   -99.96mA     .0940V     .0560V
    .7800V    99.96mA   -99.96mA     .0930V     .0560V
    .7900V    99.96mA   -99.96mA     .0930V     .0560V
    .8000V    99.96mA   -99.96mA     .0940V     .0560V
    .8100V    99.96mA   -99.96mA     .0940V     .0560V
    .8200V    99.96mA   -99.96mA     .0940V     .0560V
    .8300V    99.96mA   -99.96mA     .0940V     .0560V
    .8400V    99.96mA   -99.96mA     .0940V     .0560V
    .8500V    99.96mA   -99.96mA     .0940V     .0560V
    .8600V    99.96mA   -99.96mA     .0930V     .0560V
    .8700V    99.96mA   -99.96mA     .0940V     .0560V
    .8800V    99.96mA   -99.96mA     .0930V     .0560V
    .8900V    99.96mA   -99.96mA     .0930V     .0560V
    .9000V    99.96mA   -99.96mA     .0940V     .0560V
    .9100V    99.96mA   -99.96mA     .0930V     .0560V
    .9200V    99.96mA   -99.96mA     .0940V     .0560V
    .9300V    99.96mA   -99.96mA     .0940V     .0560V
    .9400V    99.96mA   -99.96mA     .0940V     .0560V
    .9500V    99.96mA   -99.96mA     .0940V     .0560V
    .9600V    99.96mA   -99.96mA     .0940V     .0560V
    .9700V    99.96mA   -99.96mA     .0940V     .0560V
    .9800V    99.96mA   -99.96mA     .0940V     .0560V
    .9900V    99.96mA   -99.96mA     .0940V     .0560V
   1.0000V    99.96mA   -99.96mA     .0940V     .0560V

