Sample:

Comments:

Date: 
11.05.2026
Time: 
13:21:01
Settings at:


Variable1:
 VIN   -Ch1 
 Linear sweep
 Start      -1.0000V
 Stop        1.0000V
 Step         .0100V

Constants:
 VOUT  -Ch2   .0000V
 IINS  -Ch3   .000 A
 IOUTS -Ch4   .000 A


VIN   -Ch1 IIN   -Ch1 IOUT  -Ch2 VINS  -Ch3 VOUTS -Ch4 
  - .0700V   -24.16mA    24.16mA   - .0500V   - .0420V
  - .0600V   -20.66mA    20.67mA   - .0420V   - .0350V
  - .0500V   -17.18mA    17.21mA   - .0360V   - .0300V
  - .0400V   -13.72mA    13.72mA   - .0290V   - .0240V
  - .0300V   -10.23mA    10.23mA   - .0220V   - .0180V
  - .0200V   -6.718mA    6.721mA   - .0140V   - .0120V
  - .0100V   -3.249mA    3.250mA   - .0070V   - .0070V
  - .0000V    240.3uA   -228.0uA     .0000V   - .0010V
    .0100V    3.693mA   -3.699mA     .0070V     .0050V
    .0200V    7.162mA   -7.163mA     .0140V     .0110V
    .0300V    10.69mA   -10.68mA     .0210V     .0160V
    .0400V    14.17mA   -14.17mA     .0280V     .0220V
    .0500V    17.66mA   -17.64mA     .0350V     .0280V
    .0600V    21.14mA   -21.16mA     .0420V     .0330V
    .0700V    24.62mA   -24.62mA     .0490V     .0390V
    .0800V    28.08mA   -28.08mA     .0570V     .0450V
    .0900V    31.57mA   -31.58mA     .0640V     .0510V
    .1000V    35.05mA   -35.04mA     .0700V     .0560V
    .1100V    38.52mA   -38.52mA     .0780V     .0630V
    .1200V    41.98mA   -41.98mA     .0850V     .0680V
    .1300V    45.44mA   -45.43mA     .0920V     .0730V
    .1400V    48.89mA   -48.90mA     .0990V     .0790V
    .1500V    52.34mA   -52.34mA     .1060V     .0850V
    .1600V    55.81mA   -55.79mA     .1130V     .0910V
    .1700V    59.25mA   -59.24mA     .1210V     .0970V
    .1800V    62.69mA   -62.69mA     .1290V     .1030V
    .1900V    66.12mA   -66.10mA     .1340V     .1090V
    .2000V    69.53mA   -69.53mA     .1420V     .1140V
    .2100V    72.95mA   -72.96mA     .1480V     .1200V
    .2200V    76.35mA   -76.34mA     .1560V     .1260V
    .2300V    79.75mA   -79.75mA     .1630V     .1310V
    .2400V    83.16mA   -83.16mA     .1700V     .1370V
    .2500V    86.54mA   -86.54mA     .1770V     .1440V
    .2600V    89.92mA   -89.93mA     .1840V     .1490V
    .2700V    93.29mA   -93.29mA     .1920V     .1550V
    .2800V    96.65mA   -96.65mA     .1990V     .1610V
    .2900V    99.95mA   -99.96mA     .2060V     .1670V
    .3000V    99.95mA   -99.96mA     .2060V     .1670V
    .3100V    99.95mA   -99.95mA     .2050V     .1670V
    .3200V    99.95mA   -99.96mA     .2060V     .1670V
    .3300V    99.95mA   -99.95mA     .2060V     .1670V
    .3400V    99.95mA   -99.95mA     .2060V     .1670V
    .3500V    99.95mA   -99.95mA     .2060V     .1670V
    .3600V    99.95mA   -99.96mA     .2060V     .1660V
    .3700V    99.95mA   -99.96mA     .2060V     .1670V
    .3800V    99.95mA   -99.96mA     .2050V     .1670V
    .3900V    99.95mA   -99.96mA     .2050V     .1670V
    .4000V    99.95mA   -99.96mA     .2060V     .1670V
    .4100V    99.95mA   -99.96mA     .2050V     .1670V
    .4200V    99.95mA   -99.96mA     .2050V     .1670V
    .4300V    99.95mA   -99.96mA     .2060V     .1670V
    .4400V    99.95mA   -99.95mA     .2060V     .1670V
    .4500V    99.95mA   -99.96mA     .2060V     .1670V
    .4600V    99.95mA   -99.96mA     .2060V     .1670V
    .4700V    99.95mA   -99.96mA     .2060V     .1670V
    .4800V    99.95mA   -99.96mA     .2050V     .1670V
    .4900V    99.95mA   -99.96mA     .2050V     .1660V
    .5000V    99.95mA   -99.96mA     .2050V     .1670V
    .5100V    99.95mA   -99.96mA     .2050V     .1670V
    .5200V    99.95mA   -99.96mA     .2050V     .1670V
    .5300V    99.95mA   -99.96mA     .2050V     .1670V
    .5400V    99.95mA   -99.96mA     .2050V     .1670V
    .5500V    99.95mA   -99.96mA     .2060V     .1670V
    .5600V    99.95mA   -99.96mA     .2050V     .1670V
    .5700V    99.95mA   -99.96mA     .2050V     .1670V
    .5800V    99.95mA   -99.96mA     .2060V     .1670V
    .5900V    99.95mA   -99.96mA     .2060V     .1670V
    .6000V    99.95mA   -99.96mA     .2060V     .1670V
    .6100V    99.95mA   -99.96mA     .2060V     .1670V
    .6200V    99.95mA   -99.96mA     .2060V     .1670V
    .6300V    99.95mA   -99.96mA     .2060V     .1670V
    .6400V    99.95mA   -99.96mA     .2050V     .1670V
    .6500V    99.95mA   -99.96mA     .2050V     .1670V
    .6600V    99.95mA   -99.96mA     .2060V     .1670V
    .6700V    99.95mA   -99.96mA     .2060V     .1670V
    .6800V    99.95mA   -99.96mA     .2060V     .1670V
    .6900V    99.95mA   -99.96mA     .2060V     .1670V
    .7000V    99.95mA   -99.96mA     .2050V     .1670V
    .7100V    99.95mA   -99.96mA     .2050V     .1670V
    .7200V    99.95mA   -99.96mA     .2060V     .1660V
    .7300V    99.95mA   -99.96mA     .2050V     .1670V
    .7400V    99.95mA   -99.96mA     .2060V     .1670V
    .7500V    99.95mA   -99.96mA     .2060V     .1670V
    .7600V    99.95mA   -99.96mA     .2060V     .1670V
    .7700V    99.95mA   -99.96mA     .2060V     .1670V
    .7800V    99.95mA   -99.96mA     .2060V     .1670V
    .7900V    99.95mA   -99.96mA     .2050V     .1670V
    .8000V    99.95mA   -99.96mA     .2050V     .1670V
    .8100V    99.95mA   -99.96mA     .2060V     .1670V
    .8200V    99.95mA   -99.96mA     .2060V     .1670V
    .8300V    99.95mA   -99.96mA     .2050V     .1670V
    .8400V    99.95mA   -99.96mA     .2060V     .1670V
    .8500V    99.95mA   -99.96mA     .2060V     .1670V
    .8600V    99.95mA   -99.96mA     .2050V     .1670V
    .8700V    99.95mA   -99.96mA     .2060V     .1670V
    .8800V    99.95mA   -99.96mA     .2060V     .1670V
    .8900V    99.95mA   -99.96mA     .2050V     .1670V
    .9000V    99.95mA   -99.96mA     .2060V     .1670V
    .9100V    99.95mA   -99.96mA     .2060V     .1670V
    .9200V    99.95mA   -99.96mA     .2060V     .1670V
    .9300V    99.95mA   -99.96mA     .2060V     .1670V
    .9400V    99.95mA   -99.96mA     .2060V     .1670V
    .9500V    99.95mA   -99.96mA     .2060V     .1670V
    .9600V    99.95mA   -99.96mA     .2060V     .1670V
    .9700V    99.95mA   -99.96mA     .2060V     .1670V
    .9800V    99.95mA   -99.96mA     .2060V     .1670V
    .9900V    99.95mA   -99.96mA     .2060V     .1670V
   1.0000V    99.95mA   -99.96mA     .2050V     .1670V

