# VDIFF	I_in
-0.9998046	-5.46486e-05
-0.8998098	-4.91992e-05
-0.7998622	-4.375e-05
-0.6998524	-3.82847e-05
-0.5998798	-3.28268e-05
-0.4999268	-2.73665e-05
-0.3999195	-2.18996e-05
-0.2999643	-1.64317e-05
-0.1999681	-1.09581e-05
-0.0999775	-5.4809e-06
8.126e-06	7.646839e-10
0.0999912	5.4845e-06
0.1999807	1.09738e-05
0.2999848	1.64679e-05
0.3999393	2.19641e-05
0.4999406	2.74671e-05
0.5999304	3.29741e-05
0.6998948	3.84846e-05
0.7998982	4.40016e-05
0.8998609	4.95192e-05
0.9998615	5.49981e-05
