Sample:

Comments:

Date: 
13.05.2026
Time: 
15:00:51
Settings at:


Variable1:
 VIN   -Ch1 
 Linear sweep
 Start      -1.0000V
 Stop        1.0000V
 Step         .0100V

Constants:
 VOUT  -Ch2   .0000V
 IINS  -Ch3   .000 A
 IOUTS -Ch4   .000 A


VIN   -Ch1 IIN   -Ch1 IOUT  -Ch2 VINS  -Ch3 VOUTS -Ch4 
  - .0700V   -9.439mA    9.436mA   - .0340V   - .0170V
  - .0600V   -8.071mA    8.071mA   - .0300V   - .0150V
  - .0500V   -6.706mA    6.706mA   - .0240V   - .0120V
  - .0400V   -5.348mA    5.346mA   - .0190V   - .0100V
  - .0300V   -3.987mA    3.990mA   - .0140V   - .0080V
  - .0200V   -2.629mA    2.628mA   - .0100V   - .0050V
  - .0100V   -1.272mA    1.269mA   - .0050V   - .0030V
  - .0000V    60.44uA   -59.89uA     .0000V     .0000V
    .0100V    1.451mA   -1.450mA     .0050V     .0030V
    .0200V    2.817mA   -2.820mA     .0100V     .0050V
    .0300V    4.175mA   -4.168mA     .0150V     .0080V
    .0400V    5.535mA   -5.530mA     .0200V     .0100V
    .0500V    6.891mA   -6.897mA     .0250V     .0120V
    .0600V    8.257mA   -8.254mA     .0300V     .0150V
    .0700V    9.626mA   -9.621mA     .0350V     .0170V
    .0800V    11.01mA   -11.00mA     .0400V     .0200V
    .0900V    12.37mA   -12.37mA     .0450V     .0220V
    .1000V    13.73mA   -13.73mA     .0490V     .0240V
    .1100V    15.10mA   -15.10mA     .0550V     .0270V
    .1200V    16.46mA   -16.47mA     .0590V     .0300V
    .1300V    17.83mA   -17.83mA     .0650V     .0320V
    .1400V    19.20mA   -19.21mA     .0690V     .0350V
    .1500V    20.58mA   -20.58mA     .0750V     .0370V
    .1600V    21.95mA   -21.95mA     .0790V     .0390V
    .1700V    23.32mA   -23.32mA     .0840V     .0420V
    .1800V    24.69mA   -24.70mA     .0890V     .0440V
    .1900V    26.07mA   -26.08mA     .0940V     .0470V
    .2000V    27.44mA   -27.45mA     .0990V     .0500V
    .2100V    28.82mA   -28.82mA     .1040V     .0520V
    .2200V    30.20mA   -30.20mA     .1090V     .0540V
    .2300V    31.58mA   -31.58mA     .1140V     .0570V
    .2400V    32.96mA   -32.95mA     .1200V     .0590V
    .2500V    34.33mA   -34.34mA     .1250V     .0620V
    .2600V    35.71mA   -35.72mA     .1290V     .0650V
    .2700V    37.10mA   -37.10mA     .1340V     .0670V
    .2800V    38.48mA   -38.48mA     .1390V     .0690V
    .2900V    39.87mA   -39.87mA     .1440V     .0720V
    .3000V    41.24mA   -41.25mA     .1500V     .0740V
    .3100V    42.63mA   -42.63mA     .1550V     .0770V
    .3200V    44.02mA   -44.02mA     .1600V     .0800V
    .3300V    45.41mA   -45.41mA     .1650V     .0830V
    .3400V    46.79mA   -46.79mA     .1700V     .0850V
    .3500V    48.19mA   -48.19mA     .1750V     .0880V
    .3600V    49.57mA   -49.57mA     .1800V     .0910V
    .3700V    50.97mA   -50.96mA     .1850V     .0930V
    .3800V    52.34mA   -52.35mA     .1890V     .0960V
    .3900V    53.74mA   -53.74mA     .1950V     .0990V
    .4000V    55.13mA   -55.13mA     .2000V     .1010V
    .4100V    56.52mA   -56.53mA     .2050V     .1040V
    .4200V    57.91mA   -57.91mA     .2100V     .1070V
    .4300V    59.30mA   -59.30mA     .2160V     .1090V
    .4400V    60.70mA   -60.69mA     .2210V     .1120V
    .4500V    62.09mA   -62.09mA     .2260V     .1150V
    .4600V    63.48mA   -63.48mA     .2310V     .1180V
    .4700V    64.87mA   -64.87mA     .2360V     .1200V
    .4800V    66.26mA   -66.26mA     .2410V     .1230V
    .4900V    67.65mA   -67.66mA     .2470V     .1260V
    .5000V    69.05mA   -69.05mA     .2520V     .1300V
    .5100V    70.45mA   -70.45mA     .2570V     .1310V
    .5200V    71.85mA   -71.85mA     .2620V     .1340V
    .5300V    73.23mA   -73.25mA     .2670V     .1370V
    .5400V    74.63mA   -74.63mA     .2720V     .1400V
    .5500V    76.03mA   -76.03mA     .2770V     .1430V
    .5600V    77.43mA   -77.43mA     .2820V     .1460V
    .5700V    78.83mA   -78.82mA     .2880V     .1490V
    .5800V    80.21mA   -80.21mA     .2930V     .1520V
    .5900V    81.60mA   -81.60mA     .2980V     .1550V
    .6000V    83.00mA   -83.00mA     .3030V     .1580V
    .6100V    84.39mA   -84.40mA     .3090V     .1600V
    .6200V    85.78mA   -85.78mA     .3140V     .1630V
    .6300V    87.18mA   -87.18mA     .3200V     .1670V
    .6400V    88.58mA   -88.57mA     .3240V     .1690V
    .6500V    89.98mA   -89.98mA     .3300V     .1720V
    .6600V    91.37mA   -91.38mA     .3350V     .1760V
    .6700V    92.78mA   -92.78mA     .3410V     .1780V
    .6800V    94.18mA   -94.19mA     .3460V     .1820V
    .6900V    95.58mA   -95.60mA     .3510V     .1850V
    .7000V    96.98mA   -97.00mA     .3570V     .1890V
    .7100V    98.40mA   -98.42mA     .3620V     .1920V
    .7200V    99.83mA   -99.83mA     .3690V     .1940V
    .7300V    99.95mA   -99.95mA     .3680V     .1950V
    .7400V    99.95mA   -99.95mA     .3690V     .1950V
    .7500V    99.95mA   -99.96mA     .3690V     .1950V
    .7600V    99.95mA   -99.96mA     .3680V     .1950V
    .7700V    99.95mA   -99.95mA     .3680V     .1950V
    .7800V    99.95mA   -99.95mA     .3690V     .1950V
    .7900V    99.95mA   -99.95mA     .3690V     .1950V
    .8000V    99.95mA   -99.96mA     .3680V     .1950V
    .8100V    99.95mA   -99.96mA     .3680V     .1950V
    .8200V    99.95mA   -99.95mA     .3690V     .1940V
