# VDIFF	I_in
-0.999757	-4.90645e-05
-0.8997643	-4.41731e-05
-0.7998163	-3.92717e-05
-0.6998268	-3.43752e-05
-0.599856	-2.94769e-05
-0.499907	-2.45755e-05
-0.3999034	-1.96679e-05
-0.2999423	-1.47587e-05
-0.1999566	-9.8434e-06
-0.0999737	-4.9239e-06
-1.4071e-06	6.440248e-10
0.0999475	4.9276e-06
0.1999687	9.8606e-06
0.2999668	1.48e-05
0.399914	1.97428e-05
0.4999186	2.4694e-05
0.5999005	2.96507e-05
0.69986	3.46119e-05
0.7998584	3.95813e-05
0.8998158	4.45552e-05
0.999803	4.95321e-05
