Sample:

Comments:

Date: 
08.05.2026
Time: 
15:00:23
Settings at:


Variable1:
 VIN   -Ch1 
 Linear sweep
 Start      -1.0000V
 Stop        1.0000V
 Step         .0100V

Constants:
 VOUT  -Ch2   .0000V
 IINS  -Ch3   .000 A
 IOUTS -Ch4   .000 A


VIN   -Ch1 IIN   -Ch1 IOUT  -Ch2 VINS  -Ch3 VOUTS -Ch4 
  - .0700V   -48.24mA    48.27mA   - .0420V   - .0280V
  - .0600V   -41.31mA    41.34mA   - .0370V   - .0240V
  - .0500V   -34.34mA    34.33mA   - .0310V   - .0200V
  - .0400V   -27.40mA    27.41mA   - .0250V   - .0160V
  - .0300V   -20.45mA    20.45mA   - .0190V   - .0130V
  - .0200V   -13.46mA    13.47mA   - .0130V   - .0090V
  - .0100V   -6.473mA    6.471mA   - .0080V   - .0050V
  - .0000V    412.6uA   -424.4uA   - .0010V   - .0020V
    .0100V    7.322mA   -7.314mA     .0040V     .0020V
    .0200V    14.36mA   -14.35mA     .0100V     .0060V
    .0300V    21.29mA   -21.28mA     .0160V     .0090V
    .0400V    28.26mA   -28.23mA     .0220V     .0130V
    .0500V    35.23mA   -35.21mA     .0270V     .0160V
    .0600V    42.20mA   -42.17mA     .0330V     .0200V
    .0700V    49.13mA   -49.10mA     .0390V     .0240V
    .0800V    56.09mA   -56.07mA     .0450V     .0280V
    .0900V    63.02mA   -63.00mA     .0510V     .0310V
    .1000V    69.98mA   -69.98mA     .0570V     .0350V
    .1100V    76.94mA   -76.93mA     .0630V     .0380V
    .1200V    83.93mA   -83.82mA     .0680V     .0430V
    .1300V    90.83mA   -90.81mA     .0740V     .0460V
    .1400V    97.77mA   -97.79mA     .0800V     .0500V
    .1500V    99.96mA   -99.96mA     .0820V     .0510V
    .1600V    99.96mA   -99.96mA     .0820V     .0510V
    .1700V    99.96mA   -99.96mA     .0810V     .0510V
    .1800V    99.96mA   -99.96mA     .0820V     .0510V
    .1900V    99.96mA   -99.96mA     .0820V     .0510V
    .2000V    99.96mA   -99.96mA     .0820V     .0510V
    .2100V    99.96mA   -99.96mA     .0820V     .0510V
    .2200V    99.96mA   -99.96mA     .0820V     .0510V
    .2300V    99.96mA   -99.96mA     .0820V     .0510V
    .2400V    99.96mA   -99.96mA     .0820V     .0510V
    .2500V    99.96mA   -99.96mA     .0820V     .0500V
    .2600V    99.96mA   -99.95mA     .0810V     .0510V
    .2700V    99.96mA   -99.95mA     .0820V     .0510V
    .2800V    99.96mA   -99.96mA     .0820V     .0510V
    .2900V    99.96mA   -99.96mA     .0820V     .0510V
    .3000V    99.96mA   -99.96mA     .0820V     .0510V
    .3100V    99.96mA   -99.96mA     .0820V     .0510V
    .3200V    99.96mA   -99.96mA     .0820V     .0510V
    .3300V    99.96mA   -99.96mA     .0820V     .0510V
    .3400V    99.96mA   -99.96mA     .0820V     .0510V
    .3500V    99.96mA   -99.96mA     .0820V     .0510V
    .3600V    99.96mA   -99.96mA     .0820V     .0510V
    .3700V    99.96mA   -99.96mA     .0820V     .0510V
    .3800V    99.96mA   -99.96mA     .0820V     .0510V
    .3900V    99.96mA   -99.96mA     .0820V     .0510V
    .4000V    99.96mA   -99.96mA     .0820V     .0510V
    .4100V    99.96mA   -99.96mA     .0820V     .0510V
    .4200V    99.96mA   -99.96mA     .0820V     .0510V
    .4300V    99.96mA   -99.96mA     .0820V     .0510V
    .4400V    99.96mA   -99.96mA     .0820V     .0510V
    .4500V    99.96mA   -99.96mA     .0820V     .0510V
    .4600V    99.96mA   -99.96mA     .0820V     .0510V
    .4700V    99.96mA   -99.96mA     .0820V     .0510V
    .4800V    99.96mA   -99.96mA     .0820V     .0510V
    .4900V    99.96mA   -99.96mA     .0820V     .0510V
    .5000V    99.96mA   -99.96mA     .0820V     .0510V
    .5100V    99.96mA   -99.96mA     .0810V     .0510V
    .5200V    99.96mA   -99.96mA     .0820V     .0510V
    .5300V    99.96mA   -99.96mA     .0820V     .0510V
    .5400V    99.96mA   -99.96mA     .0820V     .0510V
    .5500V    99.96mA   -99.96mA     .0820V     .0510V
    .5600V    99.96mA   -99.96mA     .0820V     .0510V
    .5700V    99.96mA   -99.96mA     .0820V     .0510V
    .5800V    99.96mA   -99.96mA     .0820V     .0510V
    .5900V    99.96mA   -99.96mA     .0820V     .0510V
    .6000V    99.96mA   -99.96mA     .0820V     .0510V
    .6100V    99.96mA   -99.96mA     .0820V     .0510V
    .6200V    99.96mA   -99.96mA     .0820V     .0510V
    .6300V    99.96mA   -99.96mA     .0820V     .0510V
    .6400V    99.96mA   -99.96mA     .0820V     .0510V
    .6500V    99.96mA   -99.96mA     .0820V     .0510V
    .6600V    99.96mA   -99.96mA     .0820V     .0510V
    .6700V    99.96mA   -99.96mA     .0820V     .0510V
    .6800V    99.96mA   -99.96mA     .0820V     .0510V
    .6900V    99.96mA   -99.96mA     .0820V     .0510V
    .7000V    99.96mA   -99.96mA     .0820V     .0510V
    .7100V    99.96mA   -99.96mA     .0820V     .0510V
    .7200V    99.96mA   -99.96mA     .0820V     .0510V
    .7300V    99.96mA   -99.96mA     .0810V     .0510V
    .7400V    99.96mA   -99.96mA     .0820V     .0510V
    .7500V    99.96mA   -99.96mA     .0820V     .0510V
    .7600V    99.96mA   -99.96mA     .0820V     .0510V
    .7700V    99.96mA   -99.96mA     .0820V     .0510V
    .7800V    99.96mA   -99.96mA     .0820V     .0510V
    .7900V    99.96mA   -99.96mA     .0820V     .0510V
    .8000V    99.96mA   -99.96mA     .0820V     .0510V
    .8100V    99.96mA   -99.96mA     .0820V     .0510V
    .8200V    99.96mA   -99.96mA     .0820V     .0510V
    .8300V    99.96mA   -99.96mA     .0820V     .0510V
    .8400V    99.96mA   -99.96mA     .0820V     .0510V
    .8500V    99.96mA   -99.96mA     .0820V     .0510V
    .8600V    99.96mA   -99.96mA     .0820V     .0510V
    .8700V    99.96mA   -99.96mA     .0820V     .0510V
    .8800V    99.96mA   -99.96mA     .0820V     .0510V
    .8900V    99.96mA   -99.96mA     .0820V     .0510V
    .9000V    99.96mA   -99.96mA     .0820V     .0510V
    .9100V    99.96mA   -99.96mA     .0820V     .0510V
    .9200V    99.96mA   -99.96mA     .0820V     .0510V
    .9300V    99.96mA   -99.96mA     .0820V     .0510V
    .9400V    99.96mA   -99.96mA     .0820V     .0510V
    .9500V    99.96mA   -99.96mA     .0820V     .0510V
    .9600V    99.96mA   -99.96mA     .0820V     .0510V
    .9700V    99.96mA   -99.96mA     .0820V     .0510V
    .9800V    99.96mA   -99.96mA     .0820V     .0510V
    .9900V    99.96mA   -99.96mA     .0820V     .0510V
   1.0000V    99.96mA   -99.96mA     .0820V     .0510V

