# VDIFF	I_in
-0.999726	-4.46134e-05
-0.8997468	-4.01673e-05
-0.7998	-3.57093e-05
-0.6998105	-3.12578e-05
-0.5998459	-2.68047e-05
-0.4998951	-2.23481e-05
-0.3998941	-1.78859e-05
-0.2999436	-1.3422e-05
-0.1999511	-8.9518e-06
-0.0999726	-4.4782e-06
-5.0032e-06	5.531815e-10
0.0999487	4.4825e-06
0.1999632	8.9708e-06
0.2999578	1.34646e-05
0.3999056	1.79618e-05
0.499905	2.2467e-05
0.5998883	2.69769e-05
0.6998445	3.1492e-05
0.7998441	3.60147e-05
0.8997948	4.05423e-05
0.9997832	4.50773e-05
