1.6536e-08	9.8283e-09	5.8262e-09	4.9716e-09	6.427e-09	8.5386e-09	1.1598e-08	1.4121e-08	1.4829e-08	1.4438e-08	1.4333e-08	1.3304e-08	1.2049e-08	8.59e-09	5.5277e-09	4.9951e-09	5.0993e-09	4.6354e-09	4.0482e-09	4.7477e-09	7.6147e-09	1.0595e-08	1.3573e-08	1.409e-08	1.1999e-08	7.0219e-09	6.6505e-09	7.7193e-09	9.5491e-09	1.085e-08	1.1866e-08	1.1409e-08	1.0952e-08	1.0767e-08	1.1223e-08	1.1367e-08	1.1545e-08	1.2693e-08	1.4034e-08	1.4891e-08	1.3908e-08	1.2171e-08	1.0166e-08	7.6615e-09	5.5993e-09	4.5593e-09	5.4785e-09	7.4141e-09	8.711e-09	1.0655e-08	1.2255e-08	1.2385e-08	1.0394e-08	8.1058e-09	7.9048e-09	9.4122e-09	9.9571e-09	9.9748e-09	8.88e-09	8.2865e-09	8.4371e-09	8.0311e-09	7.7266e-09	8.8304e-09	1.08e-08	1.2445e-08	1.3865e-08	1.5023e-08	1.4599e-08	1.343e-08	1.1731e-08	9.955e-09	6.7565e-09	4.0952e-09	4.3703e-09	6.5203e-09	9.0013e-09	1.025e-08	1.0259e-08	1.0325e-08	1.0529e-08	9.856e-09	8.6694e-09	9.3375e-09	1.0739e-08	1.1897e-08	1.3215e-08	1.37e-08	1.3441e-08	1.2793e-08	1.1138e-08	8.4195e-09	7.0437e-09	7.7066e-09	8.1659e-09	9.5015e-09	1.0255e-08	1.0575e-08	1.0768e-08	1.055e-08	1.0048e-08	9.6667e-09	7.9065e-09	7.6842e-09	7.7512e-09	8.304e-09	9.317e-09	9.7433e-09	9.4653e-09	8.0151e-09	8.862e-09	1.0532e-08	1.1172e-08	1.2167e-08	1.2098e-08	1.0172e-08	8.8928e-09	8.678e-09	8.5578e-09	8.9869e-09	8.7611e-09	9.8627e-09	1.1463e-08	1.226e-08	1.1423e-08	1.0035e-08	8.6957e-09	1.0036e-08
1.6217e-08	1.1076e-08	8.2676e-09	6.8742e-09	7.247e-09	8.5122e-09	1.0322e-08	1.21e-08	1.3165e-08	1.3369e-08	1.2774e-08	1.2002e-08	1.0624e-08	9.7578e-09	9.046e-09	8.1023e-09	7.4514e-09	6.9136e-09	6.1912e-09	6.7972e-09	7.551e-09	8.3772e-09	1.0204e-08	1.1206e-08	1.0328e-08	9.0147e-09	8.4605e-09	8.0504e-09	8.0595e-09	8.3483e-09	8.5208e-09	8.497e-09	7.8747e-09	7.8328e-09	8.8984e-09	1.0222e-08	1.1005e-08	1.1477e-08	1.1824e-08	1.2227e-08	1.2453e-08	1.2318e-08	1.1976e-08	1.0971e-08	8.8869e-09	7.183e-09	6.5032e-09	8.3744e-09	1.0542e-08	1.183e-08	1.2487e-08	1.2287e-08	1.1225e-08	1.0313e-08	9.6861e-09	9.479e-09	9.7468e-09	9.6952e-09	9.7281e-09	9.5474e-09	9.4807e-09	9.7742e-09	9.9094e-09	1.0325e-08	1.1209e-08	1.2222e-08	1.3121e-08	1.3834e-08	1.3922e-08	1.3179e-08	1.1231e-08	8.7105e-09	6.6031e-09	5.987e-09	6.4831e-09	7.9286e-09	9.5753e-09	1.0721e-08	1.1357e-08	1.1282e-08	1.0472e-08	9.2441e-09	8.3179e-09	8.649e-09	1.0069e-08	1.1524e-08	1.2383e-08	1.2393e-08	1.1734e-08	1.0728e-08	9.448e-09	8.002e-09	7.25e-09	8.0855e-09	9.1054e-09	9.8072e-09	9.7197e-09	8.7316e-09	8.0577e-09	7.6583e-09	8.326e-09	8.7851e-09	8.7417e-09	8.5391e-09	8.1539e-09	8.1273e-09	8.8368e-09	9.8666e-09	1.0213e-08	9.958e-09	1.0075e-08	1.1209e-08	1.2309e-08	1.2854e-08	1.2389e-08	1.0697e-08	9.1096e-09	8.5986e-09	8.5853e-09	8.3048e-09	8.3358e-09	9.4989e-09	1.033e-08	1.0636e-08	1.0283e-08	9.6972e-09	1.052e-08	1.2802e-08
1.236e-08	9.4606e-09	8.4893e-09	8.1025e-09	8.5972e-09	9.0141e-09	9.9714e-09	1.1717e-08	1.2792e-08	1.3151e-08	1.1899e-08	1.0946e-08	1.042e-08	1.0002e-08	9.7911e-09	9.5663e-09	9.2668e-09	8.9021e-09	9.0212e-09	9.5246e-09	9.8638e-09	9.5947e-09	9.622e-09	9.5594e-09	9.3518e-09	9.4852e-09	9.6297e-09	9.757e-09	9.8688e-09	9.2032e-09	7.5933e-09	6.0773e-09	4.7449e-09	4.2107e-09	5.2114e-09	7.2071e-09	8.8382e-09	1.0026e-08	1.0973e-08	1.1544e-08	1.2127e-08	1.2602e-08	1.2847e-08	1.228e-08	1.1155e-08	8.8107e-09	8.2059e-09	9.0601e-09	1.0801e-08	1.2042e-08	1.2622e-08	1.2307e-08	1.1307e-08	1.0295e-08	9.8238e-09	9.9115e-09	1.0181e-08	1.1064e-08	1.1627e-08	1.1495e-08	1.1347e-08	1.1439e-08	1.1326e-08	1.0921e-08	1.0975e-08	1.1317e-08	1.1923e-08	1.2557e-08	1.284e-08	1.2672e-08	1.1028e-08	7.8678e-09	6.542e-09	6.5907e-09	6.8427e-09	7.3324e-09	8.0609e-09	8.3204e-09	8.3752e-09	8.3208e-09	7.7616e-09	7.7327e-09	7.6131e-09	8.1188e-09	9.2919e-09	1.0563e-08	1.1577e-08	1.2129e-08	1.1914e-08	1.0786e-08	9.3788e-09	8.6313e-09	8.8397e-09	9.4128e-09	1.01e-08	1.0748e-08	1.0711e-08	9.9317e-09	8.676e-09	7.4705e-09	7.9165e-09	8.8707e-09	9.4696e-09	1.0077e-08	9.9781e-09	1.008e-08	1.0052e-08	1.0582e-08	1.1251e-08	1.1608e-08	1.2023e-08	1.232e-08	1.2437e-08	1.2235e-08	1.1467e-08	9.9708e-09	8.481e-09	7.9184e-09	7.6066e-09	7.8237e-09	7.9374e-09	8.1701e-09	8.331e-09	8.7424e-09	9.1904e-09	1.0062e-08	1.1378e-08	1.4159e-08
1.1228e-08	7.9133e-09	7.8384e-09	8.637e-09	9.5596e-09	1.0698e-08	1.2296e-08	1.3224e-08	1.3621e-08	1.2978e-08	1.1542e-08	9.7889e-09	9.0607e-09	8.7161e-09	8.9394e-09	9.0939e-09	9.3203e-09	9.6282e-09	1.029e-08	1.1303e-08	1.1385e-08	1.0468e-08	8.4432e-09	6.949e-09	7.9609e-09	8.9816e-09	9.1604e-09	8.1082e-09	6.8186e-09	6.1088e-09	6.1579e-09	6.3578e-09	5.6197e-09	5.1948e-09	6.7412e-09	8.1503e-09	9.6888e-09	1.1173e-08	1.2372e-08	1.318e-08	1.3411e-08	1.3538e-08	1.3575e-08	1.2747e-08	1.0501e-08	9.429e-09	9.1399e-09	9.859e-09	1.1133e-08	1.2112e-08	1.2138e-08	1.1461e-08	1.0333e-08	1.0065e-08	1.0524e-08	1.1199e-08	1.1938e-08	1.257e-08	1.2759e-08	1.2731e-08	1.2585e-08	1.2138e-08	1.1258e-08	1.0277e-08	9.8614e-09	9.9123e-09	9.9636e-09	1.0149e-08	9.7016e-09	8.8061e-09	7.8619e-09	7.0314e-09	6.4526e-09	6.8279e-09	7.4598e-09	8.0219e-09	7.8145e-09	7.3396e-09	7.3678e-09	7.5116e-09	7.4431e-09	7.177e-09	6.9892e-09	7.3801e-09	8.489e-09	9.9446e-09	1.1148e-08	1.1865e-08	1.169e-08	1.147e-08	1.1376e-08	1.1268e-08	1.1535e-08	1.1687e-08	1.175e-08	1.1731e-08	1.1525e-08	1.114e-08	1.0639e-08	1.0211e-08	9.7646e-09	9.524e-09	9.7652e-09	1.04e-08	1.0622e-08	1.0632e-08	1.0793e-08	1.0948e-08	1.1135e-08	1.134e-08	1.1338e-08	1.1308e-08	1.0788e-08	9.6605e-09	8.0354e-09	6.7612e-09	6.1614e-09	6.49e-09	7.0392e-09	7.1255e-09	7.1143e-09	7.8263e-09	8.4747e-09	9.0964e-09	1.0081e-08	1.1638e-08	1.3611e-08	1.5905e-08
9.4743e-09	7.1503e-09	6.6384e-09	8.2618e-09	1.0453e-08	1.2373e-08	1.3534e-08	1.4305e-08	1.4468e-08	1.3551e-08	1.2218e-08	1.0964e-08	9.3757e-09	8.0453e-09	8.09e-09	8.4339e-09	8.9047e-09	9.8367e-09	1.1029e-08	1.2188e-08	1.1846e-08	1.0367e-08	8.1514e-09	6.4835e-09	6.0669e-09	6.215e-09	6.3685e-09	6.6119e-09	6.4918e-09	6.7141e-09	6.4989e-09	6.458e-09	6.952e-09	7.9956e-09	8.7845e-09	9.7522e-09	1.0557e-08	1.151e-08	1.2616e-08	1.335e-08	1.3585e-08	1.3386e-08	1.3193e-08	1.1897e-08	9.7842e-09	8.6162e-09	8.7392e-09	9.157e-09	9.7171e-09	9.8493e-09	9.7674e-09	9.6191e-09	9.9499e-09	1.0825e-08	1.1672e-08	1.2721e-08	1.3931e-08	1.4649e-08	1.4523e-08	1.3673e-08	1.2397e-08	1.1005e-08	9.4343e-09	8.7614e-09	8.6399e-09	9.2786e-09	9.9478e-09	9.5255e-09	9.4113e-09	9.3809e-09	8.7651e-09	7.7895e-09	6.9879e-09	7.6962e-09	7.9925e-09	7.4781e-09	7.495e-09	7.5445e-09	6.9707e-09	6.5276e-09	6.9837e-09	7.601e-09	7.9287e-09	7.9175e-09	8.3379e-09	9.2253e-09	1.0629e-08	1.1525e-08	1.1833e-08	1.1998e-08	1.2502e-08	1.2905e-08	1.3179e-08	1.323e-08	1.3083e-08	1.2919e-08	1.2595e-08	1.1699e-08	1.0852e-08	1.0454e-08	1.0361e-08	1.0737e-08	1.1294e-08	1.1537e-08	1.147e-08	1.0946e-08	9.9213e-09	9.084e-09	8.7443e-09	8.3223e-09	8.0051e-09	7.9522e-09	7.6943e-09	6.8078e-09	6.3387e-09	6.9661e-09	6.5532e-09	6.471e-09	6.5887e-09	7.3885e-09	8.4013e-09	9.2486e-09	9.768e-09	1.0468e-08	1.136e-08	1.2569e-08	1.4137e-08	1.6139e-08
8.0569e-09	6.2437e-09	5.9135e-09	7.3304e-09	1.0239e-08	1.2512e-08	1.3929e-08	1.4913e-08	1.5215e-08	1.4331e-08	1.2942e-08	1.1097e-08	9.4664e-09	8.656e-09	8.8021e-09	8.6076e-09	8.2992e-09	9.1876e-09	1.043e-08	1.0968e-08	1.0699e-08	9.5948e-09	8.1982e-09	7.3482e-09	6.4004e-09	6.687e-09	7.2703e-09	7.6836e-09	7.968e-09	8.2388e-09	8.3351e-09	8.2857e-09	8.507e-09	9.2306e-09	9.9722e-09	1.0397e-08	1.0668e-08	1.1268e-08	1.2039e-08	1.26e-08	1.2853e-08	1.2499e-08	1.1366e-08	1.011e-08	9.2216e-09	8.696e-09	8.3578e-09	8.2628e-09	8.1046e-09	8.2296e-09	8.8656e-09	9.4793e-09	9.9438e-09	1.0504e-08	1.1577e-08	1.304e-08	1.4123e-08	1.465e-08	1.4771e-08	1.3878e-08	1.2249e-08	1.075e-08	9.6562e-09	8.162e-09	7.8745e-09	8.8461e-09	9.5446e-09	9.3948e-09	9.0003e-09	8.898e-09	8.6679e-09	7.845e-09	7.3721e-09	7.8441e-09	8.2559e-09	8.2951e-09	7.6748e-09	6.7461e-09	6.5272e-09	7.1862e-09	7.7472e-09	8.0754e-09	8.2549e-09	8.2942e-09	8.6732e-09	9.1412e-09	9.5068e-09	9.8369e-09	1.037e-08	1.1225e-08	1.2311e-08	1.324e-08	1.3934e-08	1.416e-08	1.4077e-08	1.3786e-08	1.3267e-08	1.279e-08	1.2464e-08	1.2436e-08	1.2447e-08	1.2678e-08	1.2022e-08	1.1459e-08	1.1004e-08	1.0646e-08	9.8689e-09	9.2844e-09	8.8524e-09	8.2731e-09	7.9416e-09	7.2357e-09	5.761e-09	5.625e-09	4.7983e-09	4.4359e-09	4.8119e-09	4.8186e-09	6.0925e-09	8.0168e-09	9.4262e-09	1.0363e-08	1.0901e-08	1.1555e-08	1.224e-08	1.2822e-08	1.3744e-08	1.5471e-08
6.6977e-09	5.5572e-09	5.7492e-09	6.9772e-09	9.7209e-09	1.243e-08	1.4489e-08	1.5749e-08	1.5763e-08	1.4546e-08	1.2806e-08	1.1022e-08	9.3818e-09	8.708e-09	8.8643e-09	8.4918e-09	7.5385e-09	7.3469e-09	8.3281e-09	9.4993e-09	1.0245e-08	9.8874e-09	9.7865e-09	9.6346e-09	8.5405e-09	8.7809e-09	9.2964e-09	9.3724e-09	9.1431e-09	8.9397e-09	8.8836e-09	8.9866e-09	9.263e-09	1.019e-08	1.065e-08	1.0037e-08	9.544e-09	9.6883e-09	1.0187e-08	1.0461e-08	1.0084e-08	9.7752e-09	9.936e-09	1.0609e-08	1.0974e-08	1.0563e-08	1.0224e-08	9.7418e-09	8.095e-09	7.1247e-09	7.3544e-09	8.8927e-09	1.044e-08	1.1655e-08	1.3039e-08	1.4331e-08	1.49e-08	1.5005e-08	1.488e-08	1.4296e-08	1.3829e-08	1.2448e-08	9.6151e-09	6.8582e-09	6.0172e-09	6.8154e-09	7.8627e-09	8.5276e-09	8.5715e-09	8.31e-09	7.3209e-09	6.7059e-09	7.3382e-09	8.008e-09	8.6213e-09	7.7723e-09	6.6835e-09	6.3517e-09	6.7857e-09	7.9422e-09	8.9466e-09	9.2038e-09	8.6345e-09	8.4888e-09	8.2324e-09	8.1184e-09	8.44e-09	8.8977e-09	9.3445e-09	9.7355e-09	1.1219e-08	1.2897e-08	1.358e-08	1.3548e-08	1.3291e-08	1.3376e-08	1.3634e-08	1.3563e-08	1.3023e-08	1.2323e-08	1.2286e-08	1.22e-08	1.186e-08	1.134e-08	1.0952e-08	1.0358e-08	1.0071e-08	9.6578e-09	9.991e-09	1.0533e-08	1.034e-08	8.5324e-09	7.7333e-09	7.247e-09	6.1826e-09	5.6797e-09	5.9404e-09	6.5512e-09	7.6256e-09	8.5593e-09	9.1362e-09	9.8944e-09	1.0662e-08	1.1077e-08	1.1158e-08	1.1328e-08	1.1379e-08	1.1776e-08
6.3909e-09	4.4923e-09	4.1524e-09	5.1506e-09	7.9319e-09	1.0829e-08	1.3879e-08	1.5806e-08	1.6255e-08	1.561e-08	1.4142e-08	1.2609e-08	1.1402e-08	1.0723e-08	1.0324e-08	9.1219e-09	7.9841e-09	8.557e-09	9.5736e-09	1.0952e-08	1.1902e-08	1.1183e-08	1.1581e-08	1.0902e-08	8.7012e-09	8.7224e-09	8.9522e-09	8.6668e-09	8.0185e-09	8.0682e-09	8.1503e-09	7.9622e-09	8.5056e-09	9.3942e-09	9.7498e-09	9.7133e-09	8.9332e-09	7.8465e-09	7.625e-09	7.7206e-09	8.481e-09	9.4126e-09	9.8789e-09	1.0733e-08	1.1077e-08	1.0608e-08	9.7514e-09	9.2032e-09	8.7464e-09	7.9111e-09	7.5731e-09	9.205e-09	1.1036e-08	1.2343e-08	1.2956e-08	1.3334e-08	1.3834e-08	1.3972e-08	1.3386e-08	1.3351e-08	1.2997e-08	1.1843e-08	9.6638e-09	7.5506e-09	6.927e-09	7.8657e-09	9.0786e-09	9.8539e-09	9.5027e-09	8.3713e-09	7.2059e-09	6.9099e-09	7.4159e-09	7.9981e-09	8.421e-09	8.4863e-09	8.1615e-09	7.767e-09	7.8914e-09	8.7595e-09	9.5847e-09	9.8414e-09	9.7791e-09	9.469e-09	9.0538e-09	8.9052e-09	8.7758e-09	8.6295e-09	9.0294e-09	1.0063e-08	1.1401e-08	1.2621e-08	1.3133e-08	1.3242e-08	1.3528e-08	1.3612e-08	1.3506e-08	1.2717e-08	1.1648e-08	1.094e-08	1.0929e-08	1.0833e-08	1.0437e-08	1.0582e-08	1.0772e-08	1.0257e-08	1.0519e-08	1.0973e-08	1.1106e-08	9.9167e-09	7.1935e-09	6.4846e-09	6.3451e-09	6.1407e-09	6.122e-09	6.3707e-09	7.3686e-09	8.3431e-09	9.2336e-09	9.9804e-09	1.0056e-08	1.035e-08	1.0913e-08	1.1937e-08	1.2406e-08	1.1603e-08	9.8893e-09	9.8489e-09
6.5403e-09	4.1359e-09	4.5612e-09	6.2161e-09	7.9259e-09	9.9343e-09	1.281e-08	1.4983e-08	1.5581e-08	1.5315e-08	1.4098e-08	1.2645e-08	1.217e-08	1.1984e-08	1.1599e-08	1.1238e-08	1.0971e-08	1.1011e-08	1.0722e-08	1.0898e-08	1.039e-08	1.013e-08	9.3858e-09	7.2235e-09	5.5665e-09	6.6115e-09	7.5169e-09	7.714e-09	7.6933e-09	8.652e-09	8.9647e-09	8.9575e-09	9.5958e-09	1.0509e-08	1.0529e-08	1.0014e-08	9.3818e-09	8.3525e-09	7.7374e-09	7.7334e-09	8.1812e-09	9.0794e-09	1.0111e-08	1.0997e-08	1.1091e-08	1.047e-08	1.0128e-08	1.005e-08	9.8302e-09	8.4392e-09	7.4586e-09	9.4723e-09	1.0899e-08	1.1673e-08	1.2004e-08	1.2084e-08	1.2948e-08	1.3155e-08	1.2724e-08	1.2503e-08	1.194e-08	1.0979e-08	9.8486e-09	8.0362e-09	6.8341e-09	7.2251e-09	8.3256e-09	9.1124e-09	9.3961e-09	9.4468e-09	9.0016e-09	8.7739e-09	9.2169e-09	9.6605e-09	9.9216e-09	9.9482e-09	9.6848e-09	9.1435e-09	8.2939e-09	8.7786e-09	9.6648e-09	1.016e-08	1.0106e-08	9.5918e-09	8.5657e-09	7.6695e-09	8.2793e-09	8.8732e-09	9.5127e-09	9.7226e-09	1.0783e-08	1.2045e-08	1.2676e-08	1.2665e-08	1.2452e-08	1.2501e-08	1.274e-08	1.2009e-08	1.1148e-08	1.0329e-08	1.0308e-08	1.021e-08	9.3585e-09	9.6103e-09	1.0278e-08	1.0257e-08	1.074e-08	1.0184e-08	8.935e-09	6.9114e-09	7.0569e-09	7.6611e-09	7.9466e-09	8.0345e-09	7.9204e-09	8.236e-09	8.6811e-09	9.8371e-09	1.0802e-08	1.1142e-08	1.1101e-08	1.0977e-08	1.1111e-08	1.0897e-08	1.0686e-08	1.0209e-08	9.1067e-09	9.4849e-09
5.624e-09	4.8568e-09	5.9045e-09	6.7409e-09	8.5534e-09	1.0897e-08	1.2765e-08	1.4178e-08	1.4729e-08	1.4408e-08	1.4022e-08	1.3204e-08	1.3199e-08	1.3893e-08	1.3838e-08	1.3371e-08	1.2438e-08	1.1312e-08	1.0518e-08	9.6893e-09	9.3268e-09	8.2626e-09	6.5694e-09	4.1336e-09	3.4972e-09	4.3319e-09	5.1736e-09	6.1423e-09	6.904e-09	7.5579e-09	8.0559e-09	8.7818e-09	9.9797e-09	1.0871e-08	1.1288e-08	1.1302e-08	1.0983e-08	1.0326e-08	9.4838e-09	8.7829e-09	9.4702e-09	1.0579e-08	1.1314e-08	1.1414e-08	1.1247e-08	1.0874e-08	9.9929e-09	8.9056e-09	8.5753e-09	7.582e-09	6.9307e-09	8.349e-09	1.0044e-08	1.1277e-08	1.1469e-08	1.1246e-08	1.1943e-08	1.2289e-08	1.2126e-08	1.1527e-08	1.1032e-08	1.0908e-08	1.0352e-08	9.213e-09	8.0558e-09	7.3697e-09	8.2077e-09	9.3772e-09	9.9283e-09	1.0234e-08	1.0122e-08	9.999e-09	1.0495e-08	1.1248e-08	1.1556e-08	1.1382e-08	1.1039e-08	1.0919e-08	1.0153e-08	1.0257e-08	1.0504e-08	1.0129e-08	9.8071e-09	9.4058e-09	8.9754e-09	8.9491e-09	9.7642e-09	1.0622e-08	1.089e-08	1.057e-08	1.062e-08	1.0981e-08	1.0657e-08	9.1444e-09	8.719e-09	1.0228e-08	1.1096e-08	1.0957e-08	1.0275e-08	9.4963e-09	9.0544e-09	8.7985e-09	7.8117e-09	7.6634e-09	9.0016e-09	1e-08	9.9915e-09	9.2688e-09	8.2151e-09	7.4064e-09	8.2459e-09	9.1203e-09	9.4098e-09	9.2267e-09	9.0709e-09	9.0781e-09	9.4241e-09	1.0084e-08	1.0522e-08	1.1051e-08	1.126e-08	1.0973e-08	1.1024e-08	1.086e-08	1.0462e-08	9.973e-09	1.0023e-08	1.0328e-08
