Sample:

Comments:

Date: 
11.05.2026
Time: 
14:11:36
Settings at:


Variable1:
 VIN   -Ch1 
 Linear sweep
 Start      -1.0000V
 Stop        1.0000V
 Step         .0100V

Constants:
 VOUT  -Ch2   .0000V
 IINS  -Ch3   .000 A
 IOUTS -Ch4   .000 A


VIN   -Ch1 IIN   -Ch1 IOUT  -Ch2 VINS  -Ch3 VOUTS -Ch4 
  - .0700V   -31.85mA    31.85mA   - .0480V   - .0250V
  - .0600V   -27.24mA    27.27mA   - .0420V   - .0220V
  - .0500V   -22.65mA    22.67mA   - .0350V   - .0180V
  - .0400V   -18.07mA    18.08mA   - .0280V   - .0140V
  - .0300V   -13.49mA    13.49mA   - .0210V   - .0110V
  - .0200V   -8.851mA    8.837mA   - .0140V   - .0070V
  - .0100V   -4.265mA    4.261mA   - .0070V   - .0030V
  - .0000V    324.8uA   -315.7uA     .0000V     .0000V
    .0100V    4.884mA   -4.869mA     .0070V     .0040V
    .0200V    9.462mA   -9.470mA     .0140V     .0070V
    .0300V    14.13mA   -14.12mA     .0210V     .0110V
    .0400V    18.73mA   -18.69mA     .0280V     .0140V
    .0500V    23.32mA   -23.33mA     .0350V     .0180V
    .0600V    27.92mA   -27.94mA     .0420V     .0220V
    .0700V    32.55mA   -32.54mA     .0490V     .0260V
    .0800V    37.14mA   -37.16mA     .0560V     .0290V
    .0900V    41.77mA   -41.76mA     .0630V     .0330V
    .1000V    46.36mA   -46.34mA     .0700V     .0360V
    .1100V    50.95mA   -50.97mA     .0770V     .0400V
    .1200V    55.56mA   -55.55mA     .0840V     .0430V
    .1300V    60.17mA   -60.17mA     .0910V     .0470V
    .1400V    64.78mA   -64.75mA     .0970V     .0510V
    .1500V    69.40mA   -69.39mA     .1050V     .0540V
    .1600V    73.97mA   -73.99mA     .1120V     .0580V
    .1700V    78.60mA   -78.59mA     .1190V     .0620V
    .1800V    83.21mA   -83.20mA     .1260V     .0650V
    .1900V    87.80mA   -87.79mA     .1330V     .0690V
    .2000V    92.39mA   -92.39mA     .1400V     .0730V
    .2100V    96.98mA   -96.98mA     .1460V     .0760V
    .2200V    99.96mA   -99.96mA     .1510V     .0780V
    .2300V    99.96mA   -99.96mA     .1510V     .0780V
    .2400V    99.96mA   -99.96mA     .1510V     .0790V
    .2500V    99.96mA   -99.96mA     .1510V     .0780V
    .2600V    99.96mA   -99.96mA     .1510V     .0780V
    .2700V    99.96mA   -99.96mA     .1510V     .0780V
    .2800V    99.96mA   -99.96mA     .1510V     .0780V
    .2900V    99.96mA   -99.96mA     .1510V     .0780V
    .3000V    99.96mA   -99.96mA     .1510V     .0780V
    .3100V    99.96mA   -99.96mA     .1510V     .0780V
    .3200V    99.96mA   -99.96mA     .1510V     .0780V
    .3300V    99.96mA   -99.96mA     .1510V     .0780V
    .3400V    99.96mA   -99.96mA     .1510V     .0780V
    .3500V    99.96mA   -99.96mA     .1510V     .0780V
    .3600V    99.96mA   -99.96mA     .1510V     .0780V
    .3700V    99.96mA   -99.96mA     .1510V     .0780V
    .3800V    99.96mA   -99.96mA     .1510V     .0780V
    .3900V    99.96mA   -99.96mA     .1510V     .0780V
    .4000V    99.96mA   -99.96mA     .1500V     .0780V
    .4100V    99.96mA   -99.96mA     .1500V     .0780V
    .4200V    99.96mA   -99.96mA     .1510V     .0780V
    .4300V    99.96mA   -99.96mA     .1510V     .0780V
    .4400V    99.96mA   -99.96mA     .1510V     .0780V
    .4500V    99.96mA   -99.96mA     .1500V     .0780V
    .4600V    99.96mA   -99.96mA     .1510V     .0780V
    .4700V    99.96mA   -99.96mA     .1510V     .0780V
    .4800V    99.96mA   -99.96mA     .1510V     .0780V
    .4900V    99.96mA   -99.96mA     .1510V     .0780V
    .5000V    99.96mA   -99.96mA     .1510V     .0780V
    .5100V    99.96mA   -99.96mA     .1510V     .0780V
    .5200V    99.96mA   -99.96mA     .1510V     .0780V
    .5300V    99.96mA   -99.96mA     .1510V     .0780V
    .5400V    99.96mA   -99.96mA     .1510V     .0780V
    .5500V    99.96mA   -99.96mA     .1510V     .0780V
    .5600V    99.96mA   -99.96mA     .1510V     .0780V
    .5700V    99.96mA   -99.96mA     .1510V     .0780V
    .5800V    99.96mA   -99.96mA     .1500V     .0780V
    .5900V    99.96mA   -99.96mA     .1510V     .0780V
    .6000V    99.96mA   -99.96mA     .1500V     .0780V
    .6100V    99.95mA   -99.96mA     .1510V     .0780V
    .6200V    99.96mA   -99.96mA     .1500V     .0780V
    .6300V    99.96mA   -99.96mA     .1500V     .0780V
    .6400V    99.96mA   -99.96mA     .1510V     .0780V
    .6500V    99.96mA   -99.96mA     .1500V     .0780V
    .6600V    99.96mA   -99.96mA     .1500V     .0780V
    .6700V    99.96mA   -99.96mA     .1510V     .0780V
    .6800V    99.96mA   -99.96mA     .1510V     .0780V
    .6900V    99.96mA   -99.96mA     .1510V     .0780V
    .7000V    99.96mA   -99.96mA     .1510V     .0770V
    .7100V    99.96mA   -99.96mA     .1510V     .0770V
    .7200V    99.96mA   -99.96mA     .1510V     .0780V
    .7300V    99.96mA   -99.96mA     .1500V     .0780V
    .7400V    99.96mA   -99.96mA     .1500V     .0780V
    .7500V    99.96mA   -99.96mA     .1500V     .0780V
    .7600V    99.96mA   -99.96mA     .1510V     .0780V
    .7700V    99.96mA   -99.96mA     .1510V     .0780V
    .7800V    99.96mA   -99.96mA     .1500V     .0770V
    .7900V    99.96mA   -99.96mA     .1500V     .0780V
    .8000V    99.96mA   -99.96mA     .1500V     .0780V
    .8100V    99.96mA   -99.96mA     .1510V     .0780V
    .8200V    99.96mA   -99.96mA     .1500V     .0780V
    .8300V    99.96mA   -99.96mA     .1510V     .0780V
    .8400V    99.96mA   -99.96mA     .1510V     .0780V
    .8500V    99.96mA   -99.96mA     .1510V     .0780V
    .8600V    99.96mA   -99.96mA     .1510V     .0790V
    .8700V    99.96mA   -99.96mA     .1510V     .0780V
    .8800V    99.96mA   -99.96mA     .1510V     .0790V
    .8900V    99.96mA   -99.96mA     .1510V     .0780V
    .9000V    99.96mA   -99.96mA     .1510V     .0780V
    .9100V    99.96mA   -99.96mA     .1510V     .0780V
    .9200V    99.96mA   -99.96mA     .1510V     .0780V
    .9300V    99.96mA   -99.96mA     .1510V     .0780V
    .9400V    99.96mA   -99.96mA     .1510V     .0790V
    .9500V    99.96mA   -99.96mA     .1510V     .0780V
    .9600V    99.96mA   -99.96mA     .1510V     .0780V
    .9700V    99.96mA   -99.96mA     .1510V     .0780V
    .9800V    99.96mA   -99.96mA     .1510V     .0780V
    .9900V    99.96mA   -99.96mA     .1510V     .0780V
   1.0000V    99.96mA   -99.96mA     .1510V     .0790V

