# VDIFF	I_in
-0.9997514	-6.86313e-05
-0.899763	-6.17872e-05
-0.79983	-5.49419e-05
-0.6998347	-4.80894e-05
-0.5998636	-4.12352e-05
-0.4999034	-3.43694e-05
-0.3999078	-2.75041e-05
-0.2999486	-2.06371e-05
-0.1999608	-1.37629e-05
-0.0999734	-6.8839e-06
-8.7707e-06	-6.787615e-10
0.0999848	6.8885e-06
0.1999654	1.37835e-05
0.2999597	2.06855e-05
0.3999122	2.75909e-05
0.4999127	3.45059e-05
0.5998926	4.14267e-05
0.6998546	4.83524e-05
0.7998669	5.52514e-05
0.8998243	6.21912e-05
0.9998102	6.91423e-05
