;Raman shift;Intensity;Baseline;Corrected Intensity
90;383.463;13463.9;11094.280699761548;2369.6193002384516
91;387.086;13383.8;11129.70142750606;2254.09857249394
92;390.707;13322.0;11164.81417128979;2157.1858287102095
93;394.327;13378.3;11199.61843570648;2178.68156429352
94;397.947;13372.8;11234.11374692171;2138.686253078289
95;401.564;13242.6;11268.299652887874;1974.3003471121265
96;405.18;13253.6;11302.175722944225;1951.4242770557757
97;408.794;13202.3;11335.741546173018;1866.5584538269813
98;412.407;13180.8;11368.996731170742;1811.803268829257
99;416.018;13120.8;11401.940905199466;1718.859094800533
100;419.628;13181.9;11434.573713639278;1747.3262863607215
101;423.237;13053.2;11466.894819058856;1586.3051809411445
102;426.844;13187.3;11498.903901500134;1688.3960984998648
103;430.449;13124.9;11530.600656868097;1594.2993431319028
104;434.054;13156.7;11561.98479795168;1594.7152020483209
105;437.657;13179.1;11593.056053482807;1586.043946517193
106;441.258;13175.7;11623.814168140547;1551.885831859454
107;444.858;13195.9;11654.258902464408;1541.641097535592
108;448.457;13251.8;11684.390032512742;1567.4099674872577
109;452.054;13225.7;11714.207349760307;1511.4926502396938
110;455.65;13329.0;11743.710661355959;1585.289338644041
111;459.244;13270.0;11772.899789563477;1497.1002104365234
112;462.837;13365.2;11801.774572499524;1563.4254275004769
113;466.429;13307.4;11830.334863251757;1477.0651367482424
114;470.019;13417.1;11858.580530542084;1558.5194694579168
115;473.605;13386.7;11886.51145786306;1500.1885421369407
116;477.193;13528.4;11914.127544292427;1614.2724557075726
117;480.779;13582.1;11941.428703909807;1640.6712960901932
118;484.363;13671.1;11968.414866937535;1702.685133062465
119;487.946;13668.7;11995.08598000464;1673.6140199953606
120;491.528;13695.7;12021.442006766998;1674.2579932330027
121;495.108;13851.8;12047.482927616626;1804.3170723833737
122;498.687;13970.2;12073.208739688107;1896.9912603118937
123;502.263;14084.8;12098.619458159197;1986.180541840802
124;505.839;14125.0;12123.715117177548;2001.2848828224523
125;509.414;14345.9;12148.49577075261;2197.4042292473896
126;512.987;14356.8;12172.961492906681;2183.838507093318
127;516.559;14443.1;12197.11237963609;2245.9876203639105
128;520.127;14499.2;12220.948548775541;2278.2514512244597
129;523.697;14516.6;12244.470140619618;2272.129859380382
130;527.264;14592.4;12267.677318245418;2324.7226817545816
131;530.831;14532.8;12290.570267451327;2242.2297325486725
132;534.396;14553.0;12313.149197282952;2239.8508027170483
133;537.957;14419.9;12335.414339208191;2084.485660791808
134;541.519;14240.0;12357.365947093438;1882.634052906562
135;545.08;14123.1;12379.00429564993;1744.0957043500712
136;548.64;13923.2;12400.32967841524;1522.87032158476
137;552.195;13793.8;12421.342406367909;1372.4575936320907
138;555.752;13465.4;12442.042805715155;1023.3571942848448
139;559.307;13416.2;12462.431216388783;953.7687836112182
140;562.859;13262.2;12482.507988554153;779.692011445848
141;566.412;13221.9;12502.273481914312;719.6265180856881
142;569.963;13141.2;12521.728063969216;619.4719360307845
143;573.51;13047.6;12540.87210941508;506.7278905849198
144;577.059;12997.3;12559.705999142823;437.59400085717607
145;580.606;12937.4;12578.23011911063;359.16988088936887
146;584.149;12791.7;12596.444859652638;195.2551403473626
147;587.693;12795.6;12614.350614694673;181.24938530532745
148;591.236;12817.2;12631.947780115112;185.2522198848892
149;594.776;12700.7;12649.236753604817;51.46324639518389
150;598.316;12710.3;12666.217934707165;44.08206529283416
151;601.852;12785.4;12682.891723480165;102.50827651983491
152;605.39;13308.9;12699.258520422642;609.641479577358
153;608.924;14072.3;12715.318727058495;1356.9812729415044
154;612.458;13955.3;12731.07275100804;1224.2272489919596
155;615.991;13286.0;12746.521013461395;539.4789865386047
156;619.521;12861.3;12761.663947850953;99.63605214904601
157;623.051;12987.4;12776.501993003889;210.89800699611078
158;626.578;13037.3;12791.035588743742;246.26441125625752
159;630.106;13088.1;12805.265177003026;282.83482299697425
160;633.63;13112.2;12819.191202176895;293.00879782310585
161;637.155;13206.7;12832.814111488851;373.88588851114946
162;640.677;13054.1;12846.134355092478;207.9656449075228
163;644.199;12877.1;12859.152386880207;17.94761311979346
164;647.718;12905.6;12871.868662824125;33.731337175875524
165;651.237;12916.6;12884.28363907578;32.316360924220135
166;654.754;12972.6;12896.397772124032;76.20222787596867
167;658.27;13047.1;12908.211518780892;138.88848121910814
168;661.784;12933.9;12919.725336620395;14.17466337960468
169;665.296;13024.7;12930.939684605444;93.76031539455653
170;668.808;13102.7;12941.855021840684;160.84497815931718
171;672.318;13105.8;12952.47180836835;153.32819163165004
172;675.828;13176.1;12962.790505839122;213.30949416087788
173;679.334;13150.0;12972.811577436953;177.18842256304742
174;682.839;13371.9;12982.535488478876;389.36451152112386
175;686.345;13375.6;12991.962706053806;383.6372939461944
176;689.848;13554.9;13001.093701144287;553.8062988557122
177;693.351;13585.7;13009.92894856923;575.771051430771
178;696.851;13698.8;13018.468928685588;680.331071314411
179;700.349;13717.8;13026.714127608031;691.0858723919682
