#Acq. time (s)=	60
#Accumulations=	10
#Range (cm-¹)=	50...3000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector Gain=	High Sensitivity
#Detector ADC=	1 MHz Ultra 
#Detector temperature (°C)=	-70.2
#Instrument=	LabRAM HR Evol
#Detector=	Synapse
#Objective=	x100
#Grating=	300gr_mm
#ND Filter=	50%
#Laser (nm)=	532
#Slit=	100.021
#Hole=	1000.03
#AFM=	Off
#Collection=	Microscope
#StageXY=	Marzhauser
#StageZ=	Marzhauser
#X (µm)=	0
#Y (µm)=	0
#Z (µm)=	-639.4
#Full time(mm:ss)=	10:08
#Project=	NiGe_900_
#Sample=	1
#Site=	
#Title=	50%_100x_60sx10
#Remark=	
#Date=	22.05.2026 13:31
#Acquired=	22.05.2026 13:31:37
#AxisType[0]=Intens
#AxisUnit[0]=Cnt
#AxisType[1]=Spectr
#AxisUnit[1]=1/cm
51.3749	6322
55.1317	6322
58.8869	6884.78
62.6406	8172.22
66.3907	9665.22
70.1415	12259.1
73.8907	15333.7
77.6384	17887.6
81.3847	21038.7
85.1273	24924
88.8705	28995.7
92.6122	31664.1
96.3525	31842.2
100.091	30189.3
103.826	28687.6
107.562	27819
111.296	26738.3
115.029	25748.6
118.758	25122
122.488	25022.9
126.216	25116.2
129.941	25457.3
133.666	25691.7
137.39	25331.7
141.113	24356.7
144.831	23067.6
148.551	22087.6
152.269	21392.2
155.983	20851.2
159.698	20616.6
163.409	20438.7
167.121	20359.7
170.832	20423.8
174.538	20476.8
178.246	20365.9
181.952	19905.8
185.655	19721.6
189.358	19968.3
193.057	21379.7
196.757	24757.4
200.454	32495.9
204.151	35469.6
207.845	27672.1
211.539	20197.1
215.23	18165.4
218.921	17588
222.609	17364.2
226.297	17103.6
229.982	16989
233.668	16980.1
237.35	16915.7
241.032	16826.6
244.711	16745.2
248.391	16776.3
252.067	16785.9
255.744	16794.3
259.417	17020.2
263.089	17115.9
266.761	17190.8
270.43	17239.2
274.099	17033
277.765	17004.1
281.43	17025.3
285.095	17072
