	Raman shift	Intensity	Baseline	Corrected Intensity	intensity_norm	intensity_sub	linear_baseline	intensity_final	Curve 1	Curve 2	Curve 3	Fit Sum
296.0	1100.49	19797.9	19683.197728421972	114.70227157802947	0.00498457787153516	-0.06003370885243802	0.04327419025178278	-0.10330789910422081	0.031502090980995504	1.1343483573824891E-14	0.004751677447350787	0.03625376842835763
297.0	1103.83	19819.7	19702.78683156907	116.91316843093227	0.005080656069269275	-0.05493878077708176	0.042371622265819114	-0.09731040304290087	0.03231525911488836	1.8874419490785763E-14	0.004816770438169934	0.03713202955307717
298.0	1107.17	19863.2	19722.198638209473	141.00136179052788	0.006127448551524692	-0.05524426078673157	0.04146905427985539	-0.09671331506658695	0.033159827237274314	3.1270895234266785E-14	0.00488320772880325	0.038043034966108835
299.0	1110.51	20122.2	19741.433288345575	380.7667116544253	0.016546850371997344	-0.042533468437771275	0.04056648629389172	-0.083099954731663	0.03403740796568821	5.1587749301621156E-14	0.00495102652239855	0.03898843448813835
300.0	1113.85	20166.0	19760.490922120756	405.5090778792437	0.017622071023488537	-0.04375560814984186	0.03966391830792806	-0.08341952645776993	0.03494971788867246	8.474076912921072E-14	0.005020265315565049	0.03996998320432225
301.0	1117.19	20145.4	19779.371680059157	366.0283199408441	0.015906369061672487	-0.04242766332519446	0.03876135032196433	-0.08118901364715879	0.035898585924353965	1.3860464248224556E-13	0.005090963952608846	0.04098954987710142
302.0	1120.53	20293.3	19798.075703090446	495.22429690955323	0.021520794992648952	-0.03528241492181045	0.037858782336000665	-0.07314119725781112	0.0368859625755102	2.2573697823135966E-13	0.005163163682434825	0.04204912625817076
303.0	1123.86	20415.1	19816.603132510307	598.4968674896918	0.026008676208672865	-0.033943309500725126	0.03695891664939617	-0.07090222615012129	0.037910789716092824	3.655454080296378E-13	0.0052366840815049635	0.04314747379796333
304.0	1127.19	20399.7	19834.95411010965	564.7458898903496	0.024541971375631143	-0.030278350154807444	0.03605905096279161	-0.06633740111759906	0.03897817066766315	5.894278290096712E-13	0.005311782897010493	0.04428995356526308
305.0	1130.53	20497.7	19853.128778277878	644.5712217221226	0.028010913857436544	-0.02731962061305409	0.03515648297682795	-0.06247610358988204	0.040093875740554175	9.477316215753533E-13	0.005388738435053121	0.04548261417655503
306.0	1133.86	20577.7	19871.127279969136	706.5727200308647	0.030705292026412385	-0.017186527704641564	0.03425661729022345	-0.05144314499486502	0.04125375930072444	1.5152018034874483E-12	0.005467137061556248	0.046720896363795894
307.0	1137.19	20549.0	19888.949758782142	660.0502412178575	0.02868358037911928	-0.023042652581998054	0.033356751603618895	-0.05639940418561695	0.04246380723859185	2.412160848794562E-12	0.005547255496647825	0.048011062737651836
308.0	1140.51	20676.8	19906.59635902218	770.2036409778193	0.033470479464586415	-0.009946839334650133	0.03245958821637357	-0.0424064275510237	0.04372306139569127	3.8185161919327135E-12	0.005628895690628524	0.04935195709013831
309.0	1143.84	20711.4	19924.06722565458	787.3327743454211	0.03421485442741912	-0.009864577694815607	0.031559722529769074	-0.04142430022458468	0.04504224154005431	6.027501575176478E-12	0.0057126017505120495	0.05075484329659387
310.0	1147.17	20751.2	19941.362504414876	809.837495585125	0.03519283449662973	-0.005475164170314066	0.030659856843164517	-0.03613502101347858	0.04642102608992606	9.473941680899908E-12	0.0057981848338030575	0.05221921093320306
