	Raman shift	Intensity	Baseline	Corrected Intensity	intensity_norm	intensity_sub	linear_baseline	intensity_final	Curve 1	Curve 2	Curve 3	Fit Sum
296.0	1100.49	21414.3	20935.84556245128	478.4544375487203	0.013170829666110911	-0.05184745705786227	0.013175534597270553	-0.06502299165513283	0.018973497480174146	8.255228153740132E-27	0.0025010131697840664	0.02147451064995821
297.0	1103.83	21289.3	20954.415384078977	334.8846159210225	0.009218658848048882	-0.050800777998302155	0.012448332065620439	-0.06324911006392259	0.019455215997641464	2.1735273585825284E-26	0.002535192287490163	0.021990408285131626
298.0	1107.17	21390.7	20972.776196814735	417.92380318526557	0.011504550471654657	-0.04986715886660161	0.011721129533970275	-0.061588288400571886	0.01995520889236895	5.676379728077557E-26	0.0025700752374646424	0.022525284129833595
299.0	1110.51	21451.8	20990.92823672733	460.87176327266934	0.012686816163903618	-0.046393502645865003	0.01099392700232016	-0.05738742964818516	0.020474407861193183	1.470442574039377E-25	0.002605681432191301	0.023080089293384485
300.0	1113.85	21659.2	21008.871740303464	650.3282596965364	0.01790214921906587	-0.043475529954264534	0.010266724470670046	-0.05374225442493458	0.021013807727779058	3.778287445900835E-25	0.0026420309564445855	0.023655838684223645
301.0	1117.19	21702.7	21026.606944490715	676.0930555092855	0.01861139906691014	-0.039722633319956804	0.009539521939019881	-0.04926215525897669	0.021574472624000886	9.629688100290296E-25	0.0026791445953538388	0.024253617219354727
302.0	1120.53	21675.1	21044.134086886985	630.9659131130138	0.017369145135972142	-0.039434064778487266	0.008812319407369767	-0.048246384185857034	0.022157543079377263	2.4344437550941047E-24	0.002717043863840382	0.024874586943217647
303.0	1123.86	21860.7	21061.453405766257	799.246594233744	0.022001553184047923	-0.03795043252535007	0.008087294128808424	-0.04603772665415849	0.022762391158538953	6.0878992093618215E-24	0.0027556339192284208	0.025518025077767372
304.0	1127.19	21815.6	21078.565140033483	737.0348599665158	0.020288996896630104	-0.03453132463380848	0.007362268850247031	-0.04189359348405551	0.023392035663186896	1.5101725268171546E-23	0.0027950499097753557	0.026187085572962253
305.0	1130.53	21877.3	21095.46952939285	781.8304706071503	0.02152212446580882	-0.033808410004681815	0.0066350663185969164	-0.04044347632327873	0.024049897825997903	3.726028065640865E-23	0.0028354377352402564	0.02688533556123816
306.0	1133.86	21912.4	21112.166814285574	800.2331857144272	0.02202871194217062	-0.02586310778888333	0.005910041040035572	-0.0317731488289189	0.0247335691997124	9.094472272311105E-23	0.002876580145539463	0.027610149345251862
307.0	1137.19	21743.7	21128.657235934705	615.0427640652961	0.016930814821950902	-0.03479541813916644	0.005185015761474178	-0.03998043390064061	0.025446637175712328	2.2019136697562684E-22	0.0029186221970090866	0.028365259372721413
308.0	1140.51	21811.8	21144.941036363514	666.858963636485	0.01835720422277623	-0.02506011457646032	0.0044621677360016055	-0.029522282312461925	0.026188623367996555	5.274448329840072E-22	0.0029614597941947708	0.029150083162191327
309.0	1143.84	21843.4	21161.018458210317	682.381541789684	0.018784507674871102	-0.02529492444736362	0.0037371424574402616	-0.029032066904803883	0.02696596463990097	1.2565887552689834E-21	0.00300537824519726	0.029971342885098232
310.0	1147.17	21869.8	21176.88974478027	692.9102552197292	0.019074340687813527	-0.02159365797913027	0.0030121171788788682	-0.024605775158009137	0.02777863516534805	2.969618765869271E-21	0.0030502782540323256	0.030828913419380377
311.0	1150.49	21959.6	21192.555140060904	767.0448599390947	0.02111510815592547	-0.015423263474770844	0.0022892691534062955	-0.01771253262817714	0.02862639926472296	6.9437452050113E-21	0.003096049792954815	0.03172244905767777
