;Raman shift;Intensity;Baseline;Corrected Intensity;intensity_norm;intensity_sub;linear_baseline;intensity_final
296;1100.49;19797.9;19683.197728421972;114.70227157802947;0.00498457787153516;-0.06003370885243802;0.04327419025178278;-0.10330789910422081
297;1103.83;19819.7;19702.78683156907;116.91316843093227;0.005080656069269275;-0.05493878077708176;0.042371622265819114;-0.09731040304290087
298;1107.17;19863.2;19722.198638209473;141.00136179052788;0.006127448551524692;-0.05524426078673157;0.04146905427985539;-0.09671331506658695
299;1110.51;20122.2;19741.433288345575;380.7667116544253;0.016546850371997344;-0.042533468437771275;0.04056648629389172;-0.083099954731663
300;1113.85;20166.0;19760.490922120756;405.5090778792437;0.017622071023488537;-0.04375560814984186;0.03966391830792806;-0.08341952645776993
301;1117.19;20145.4;19779.371680059157;366.0283199408441;0.015906369061672487;-0.04242766332519446;0.03876135032196433;-0.08118901364715879
302;1120.53;20293.3;19798.075703090446;495.22429690955323;0.021520794992648952;-0.03528241492181045;0.037858782336000665;-0.07314119725781112
303;1123.86;20415.1;19816.603132510307;598.4968674896918;0.026008676208672865;-0.033943309500725126;0.03695891664939617;-0.07090222615012129
304;1127.19;20399.7;19834.95411010965;564.7458898903496;0.024541971375631143;-0.030278350154807444;0.03605905096279161;-0.06633740111759906
305;1130.53;20497.7;19853.128778277878;644.5712217221226;0.028010913857436544;-0.02731962061305409;0.03515648297682795;-0.06247610358988204
306;1133.86;20577.7;19871.127279969136;706.5727200308647;0.030705292026412385;-0.017186527704641564;0.03425661729022345;-0.05144314499486502
307;1137.19;20549.0;19888.949758782142;660.0502412178575;0.02868358037911928;-0.023042652581998054;0.033356751603618895;-0.05639940418561695
308;1140.51;20676.8;19906.59635902218;770.2036409778193;0.033470479464586415;-0.009946839334650133;0.03245958821637357;-0.0424064275510237
309;1143.84;20711.4;19924.06722565458;787.3327743454211;0.03421485442741912;-0.009864577694815607;0.031559722529769074;-0.04142430022458468
310;1147.17;20751.2;19941.362504414876;809.837495585125;0.03519283449662973;-0.005475164170314066;0.030659856843164517;-0.03613502101347858
311;1150.49;20951.8;19958.482341825922;993.3176581740772;0.04316626994585186;0.006627898315155548;0.02976269345591919;-0.023134795140763643
312;1153.82;20957.2;19975.42688522042;981.7731147795821;0.042664582623103145;0.0058434285684290516;0.028862827769314696;-0.023019399200885644
313;1157.14;20920.9;19992.19628292438;928.703717075623;0.04035836373300121;0.009636641775490642;0.027965664382069308;-0.018329022606578666
314;1160.46;21009.4;20008.790684245567;1000.6093157544346;0.04348314104632641;0.01349916921346252;0.027068500994823982;-0.013569331781361462
315;1163.78;21087.6;20025.21023942045;1062.38976057955;0.04616791296873231;0.01715243587312222;0.026171337607578657;-0.009018901734456436
