# VDIFF	I_in
-0.999642	-7.37557e-05
-0.89967	-6.64012e-05
-0.7997366	-5.90464e-05
-0.6997485	-5.16832e-05
-0.5997963	-4.43184e-05
-0.4998474	-3.69386e-05
-0.3998555	-2.95604e-05
-0.2999177	-2.21811e-05
-0.1999337	-1.47929e-05
-0.0999624	-7.3993e-06
-6.2601e-06	7.222059e-10
0.0999695	7.4053e-06
0.1999426	1.48197e-05
0.2999256	2.22418e-05
0.3998629	2.96682e-05
0.4998536	3.71058e-05
0.5998292	4.45509e-05
0.6997867	5.19616e-05
0.799767	5.94328e-05
0.8997121	6.691e-05
0.9996928	7.43975e-05
