# VDIFF	I_in
-0.9998175	-4.43677e-05
-0.8998114	-3.99484e-05
-0.7998666	-3.55361e-05
-0.6998613	-3.11161e-05
-0.5998933	-2.6692e-05
-0.4999372	-2.22622e-05
-0.3999261	-1.78236e-05
-0.299971	-1.33803e-05
-0.1999737	-8.9276e-06
-0.0999809	-4.4678e-06
-5.8423e-06	5.31046e-11
0.0999521	4.4744e-06
0.1999808	8.958e-06
0.2999826	1.34512e-05
0.3999349	1.79515e-05
0.4999438	2.24639e-05
0.599934	2.69848e-05
0.6998962	3.15143e-05
0.7998987	3.60558e-05
0.8998649	4.06061e-05
0.9998506	4.51668e-05
