# VDIFF	I_in
-0.9996648	-7.11817e-05
-0.8996832	-6.40822e-05
-0.7997551	-5.69822e-05
-0.6997693	-4.98752e-05
-0.5998108	-4.27668e-05
-0.4998569	-3.56427e-05
-0.3998666	-2.85226e-05
-0.2999213	-2.14015e-05
-0.1999359	-1.4272e-05
-0.0999618	-7.1386e-06
3.6097e-06	1.3842e-09
0.0999734	7.1437e-06
0.1999524	1.42957e-05
0.2999395	2.14538e-05
0.3998801	2.86153e-05
0.4998716	3.57874e-05
0.5998454	4.29655e-05
0.6998101	5.01129e-05
0.7998013	5.73148e-05
0.8997457	6.45198e-05
0.9997225	7.17339e-05
