;Raman shift;Intensity;Baseline;Corrected Intensity
0;51.3771;6086.89;6509.423280498872;-422.53328049887205
1;55.1338;6086.89;6574.734792652514;-487.8447926525141
2;58.889;6951.22;6640.042083698722;311.17791630127795
3;62.6428;8128.78;6705.336058960578;1423.4439410394216
4;66.395;9092.0;6770.607626872942;2321.392373127058
5;70.1436;10884.3;6835.847710105112;4048.452289894887
6;73.8928;12981.9;6901.047254540304;6080.852745459696
7;77.6406;15209.0;6966.197246546247;8242.802753453754
8;81.3868;18741.1;7031.2887332992;11709.811266700799
9;85.1315;23481.9;7096.31284440344;16385.58715559656
10;88.8748;31815.8;7161.260826561353;24654.539173438647
11;92.6144;42149.1;7226.124090331195;34922.97590966881
12;96.3546;46285.9;7290.894292816615;38995.00570718339
13;100.093;45255.9;7355.5634403510185;37900.33655964898
14;103.831;36738.6;7420.123929217869;29318.47607078213
15;107.564;27939.4;7484.568534703991;20454.83146529601
16;111.298;23707.2;7548.890325280967;16158.309674719034
17;115.031;21994.0;7613.08257396869;14380.91742603131
18;118.763;21643.2;7677.138715370145;13966.061284629855
19;122.49;22344.3;7741.05232789749;14603.247672102509
20;126.218;24665.7;7804.817129623484;16860.882870376518
21;129.945;29136.6;7868.426984653367;21268.17301534663
22;133.668;32871.9;7931.875925701199;24940.024074298803
23;137.392;33826.9;7995.158198162773;25831.741801837226
24;141.115;31838.1;8058.268296834121;23779.831703165877
25;144.833;27396.1;8121.2009748286955;19274.899025171304
26;148.553;23978.7;8183.951223058255;15794.748776941746
27;152.271;22382.0;8246.51422518355;14135.48577481645
28;155.985;21118.9;8308.885322812814;12810.014677187188
29;159.7;20281.2;8371.059998909135;11910.140001090866
30;163.413;19673.8;8433.033864535746;11240.766135464253
31;167.123;19635.4;8494.802649857278;11140.597350142723
32;170.834;19733.9;8556.362197446027;11177.537802553974
33;174.543;20312.3;8617.70846128026;11694.59153871974
34;178.248;21081.8;8678.837507113609;12402.96249288639
35;181.954;21534.4;8739.745517645622;12794.654482354379
36;185.657;21381.3;8800.428799605465;12580.871200394535
37;189.36;20456.8;8860.88378766884;11595.91621233116
38;193.059;18867.4;8921.107042320155;9946.292957679847
39;196.759;18148.3;8981.09524000298;9167.20475999702
40;200.458;18238.4;9040.845156623807;9197.554843376194
41;204.153;18921.7;9100.35365976117;9821.346340238832
42;207.849;19642.7;9159.617708969145;10483.082291030856
43;211.541;19710.2;9218.634362015271;10491.56563798473
44;215.234;19253.7;9277.40078149791;9976.29921850209
45;218.923;18244.4;9335.914234931075;8908.485765068926
46;222.613;17196.1;9394.172089591768;7801.927910408231
47;226.299;16649.0;9452.171801841838;7196.828198158162
48;229.986;16306.8;9509.910906062407;6796.889093937592
49;233.67;16129.4;9567.387008602878;6562.012991397121
50;237.354;16056.0;9624.597783781543;6431.402216218457
51;241.034;15944.2;9681.540971536811;6262.659028463189
52;244.715;15971.8;9738.214376121114;6233.585623878886
53;248.393;15837.1;9794.61586441346;6042.484135586541
54;252.069;15838.9;9850.743365628714;5988.156634371286
55;255.746;15951.3;9906.594869406577;6044.705130593422
56;259.419;15914.1;9962.168425268319;5951.931574731681
57;263.093;15971.2;10017.46214318226;5953.737856817741
58;266.763;16038.4;10072.474192636026;5965.925807363974
59;270.432;16214.1;10127.202802654614;6086.897197345386
60;274.101;16156.0;10181.646261922278;5974.353738077722
61;277.767;16320.6;10235.802919992248;6084.797080007753
62;281.434;16371.9;10289.671186161278;6082.228813838721
63;285.097;16480.2;10343.24953057409;6136.95046942591
64;288.758;16650.9;10396.536484197688;6254.3635158023135
65;292.42;16646.7;10449.53063936857;6197.169360631431
66;296.079;16571.7;10502.230650966867;6069.469349033134
67;299.736;16482.1;10554.635235844398;5927.4647641556
68;303.394;16344.0;10606.743171547667;5737.256828452333
69;307.048;16284.8;10658.55329489782;5626.2467051021795
70;310.701;16157.9;10710.064500088572;5447.835499911427
71;314.353;16129.6;10761.275737576088;5368.324262423912
72;318.005;16046.6;10812.18601229488;5234.41398770512
73;321.653;16064.4;10862.7943828627;5201.6056171373
74;325.3;16003.9;10913.099960241436;5090.800039758564
75;328.948;16166.9;10963.101907409035;5203.798092590965
76;332.592;16193.8;11012.79943825143;5181.000561748569
77;336.235;16269.8;11062.191818692532;5207.608181307467
78;339.876;16325.7;11111.278366466253;5214.421633533748
79;343.516;16473.3;11160.058451382587;5313.241548617412
80;347.157;16630.4;11208.531495395731;5421.86850460427
81;350.794;16960.0;11256.696973592301;5703.303026407699
82;354.43;17116.3;11304.554415277593;5811.745584722406
83;358.064;17368.1;11352.103406789927;6015.996593210071
84;361.697;17554.9;11399.34359258507;6155.5564074149315
85;365.33;17512.6;11446.274677278752;6066.325322721246
86;368.96;17481.4;11492.89642704226;5988.503572957741
87;372.588;17177.3;11539.208668710125;5638.091331289874
88;376.215;16873.0;11585.211289001905;5287.788710998095
89;379.841;16375.6;11630.904231018074;4744.695768981926
90;383.465;15951.2;11676.287490736979;4274.912509263022
91;387.088;15626.0;11721.361111583925;3904.638888416075
92;390.711;15301.6;11766.125179733324;3535.474820266676
93;394.331;15208.1;11810.579820405976;3397.5201795940247
94;397.949;15121.4;11854.72519417742;3266.6748058225803
95;401.566;15139.0;11898.561495598395;3240.4385044016053
96;405.182;15020.9;11942.088951886384;3078.8110481136155
97;408.796;14939.4;11985.30782266325;2954.09217733675
98;412.409;14886.0;12028.218398338959;2857.7816016610413
99;416.02;14960.3;12070.8209988644;2889.4790011356
100;419.63;14814.0;12113.115972768264;2700.8840272317357
101;423.239;14887.7;12155.103697474025;2732.5963025259753
102;426.846;14885.1;12196.784577413991;2688.315422586009
103;430.452;14913.9;12238.159044346428;2675.7409556535713
104;434.056;14864.7;12279.227556912749;2585.472443087252
105;437.659;14867.9;12319.990600511772;2547.909399488228
106;441.26;14860.0;12360.448686397034;2499.551313602966
107;444.86;14880.1;12400.602351301155;2479.4976486988453
108;448.459;14951.3;12440.45215695226;2510.847843047739
109;452.056;14938.8;12479.998689873448;2458.8013101265515
110;455.652;14940.6;12519.242561696285;2421.3574383037158
111;459.246;14947.7;12558.18440864035;2389.51559135965
112;462.839;14947.4;12596.824891138796;2350.5751088612033
113;466.431;14963.4;12635.16469351992;2328.235306480079
114;470.021;14853.2;12673.204523617766;2179.995476382235
115;473.609;14938.0;12710.945112548721;2227.054887451279
116;477.197;14919.8;12748.387213229125;2171.412786770874
117;480.781;15013.2;12785.531600845856;2227.668399154145
118;484.365;14949.3;12822.379072299907;2126.920927700092
119;487.948;15035.3;12858.930446768942;2176.3695532310576
