	Raman shift	Intensity	Baseline	Corrected Intensity	Curve 1	Curve 2	Curve 3	Curve 4	Curve 5	Fit Sum
0.0	51.3771	6280.44	6693.423725489717	-412.9837254897175	0.15806819029703134	0.5327904296984416	2.608470398450236E-231	2.878542566639639	0.0	3.569401186635112
1.0	55.1338	6280.44	6760.854263387121	-480.41426338712154	0.15903615493520823	0.5358832650620613	5.0804690032031765E-230	2.8926899961411228	0.0	3.5876094161383922
2.0	58.889	7099.78	6828.280675577136	271.49932442286354	0.16001264420799083	0.539001853172656	9.802602064293944E-229	2.9069362445862637	0.0	3.6059507419669106
3.0	62.6428	8402.89	6895.694037013883	1507.1959629861167	0.16099778342993545	0.542146560489622	1.8738592781425422E-227	2.9212826006428902	0.0	3.6244269445624475
4.0	66.395	9423.56	6963.085425366468	2460.474574633531	0.16199162049671315	0.5453175056454217	3.548351265627114E-226	2.9357292153428314	0.0	3.6430383414849663
5.0	70.1436	10901.4	7030.4459333759605	3870.954066624039	0.16299371938069548	0.5485132639832785	6.645640521929918E-225	2.9502692195909126	0.0	3.6617762029548864
6.0	73.8928	13114.2	7097.766678388168	6016.433321611833	0.16400530611811404	0.5517377100141706	1.2350874312658796E-223	2.964919840198515	0.0	3.6806628563307995
7.0	77.6406	15178.7	7165.038816458429	8013.6611835415715	0.16502595410054643	0.5549894465428687	2.2742242314581234E-222	2.9796743041398273	0.0	3.6996897047832427
8.0	81.3868	18757.3	7232.253563806417	11525.046436193581	0.16605571522176607	0.5582686022803082	4.148397237891663E-221	2.9945327820721737	0.0	3.718857099574248
9.0	85.1315	24054.8	7299.402216788407	16755.397783211592	0.16709472450678758	0.5615755700224561	7.496817340948482E-220	3.0094966352434978	0.0	3.738166929772741
10.0	88.8748	32400.2	7366.476187011134	25033.723812988865	0.1681431196005028	0.5649107499281415	1.3423344828571363E-218	3.02456724797245	0.0	3.757621117501094
11.0	92.6144	40493.7	7433.467053635317	33060.23294636468	0.16920035911461662	0.5682723826281697	2.3772187866407878E-217	3.039736256323813	0.0	3.777208998066599
12.0	96.3546	43546.9	7500.366646158904	36046.5333538411	0.17026777103646418	0.5716646515454195	4.177743836458407E-216	3.055022100449664	0.0	3.7969545230315473
13.0	100.093	42447.3	7567.167124682169	34880.13287531783	0.1713447920519834	0.575085725397804	7.272464375832791E-215	3.0704160686676008	0.0	3.8168465861173884
14.0	103.831	34874.9	7633.861009770725	27241.038990229277	0.17243194492948932	0.578537223625471	1.2553253692032771E-213	3.0859249898116716	0.0	3.836894158366632
15.0	107.564	27001.6	7700.441170791511	19301.15882920849	0.17352799967533586	0.5820152017404092	2.141170333991714E-212	3.101530703389947	0.0	3.8570739048056923
16.0	111.298	23166.2	7766.900749521846	15399.299250478154	0.1746348333627172	0.5855255748314421	3.6253672829533072E-211	3.117259294904148	0.0	3.8774197030983073
17.0	115.031	21783.1	7833.233080750643	13949.866919249354	0.17575198720829335	0.589066843030204	6.084159226916337E-210	3.1331035456438476	0.0	3.897922375882345
18.0	118.763	21237.6	7899.431653259803	13338.168346740196	0.17687958880269283	0.5926393666322944	1.0120447799015778E-208	3.149064579691197	0.0	3.918583535126184
19.0	122.49	21606.3	7965.490095329887	13640.809904670114	0.1780165415923838	0.5962396295985103	1.663601454772199E-207	3.1651262306576218	0.0	3.939382401848516
20.0	126.218	23027.4	8031.402168623136	14995.997831376866	0.17916479849461345	0.5998737718680989	2.7146402164763007E-206	3.1813154068144196	0.0	3.9603539771771317
21.0	129.945	26524.0	8097.161771209886	18426.838228790115	0.18032388570477584	0.6035402458857887	4.390744041555825E-205	3.1976246854783614	0.0	3.981488817068926
22.0	133.668	30730.9	8162.76295112044	22568.137048879562	0.1814929920403846	0.6072364407659341	7.023617509720885E-204	3.214041964401387	0.0	4.002771397207706
23.0	137.392	32646.8	8228.199940653492	24418.600059346507	0.18267382048954625	0.6109676932779636	1.1153257227613462E-202	3.2305904321555072	0.0	4.024231945923017
24.0	141.115	33257.6	8293.467197789105	24964.132802210894	0.18386588566295503	0.614732419075988	1.7555604872977075E-201	3.247262508912879	0.0	4.045860813651822
25.0	144.833	30432.6	8358.559424693334	22074.040575306666	0.18506802970951575	0.6185269149509752	2.731023785406786E-200	3.2640412938540333	0.0	4.067636238514524
26.0	148.553	26334.3	8423.471573173565	17910.828426826432	0.186282655071493	0.6223587141781828	4.220647214732468E-199	3.280959558614588	0.0	4.0896009278642635
27.0	152.271	23414.6	8488.198815777585	14926.401184222414	0.18750861132950222	0.6262241342119939	6.460973448998203E-198	3.298000465458081	0.0	4.111733210999577
28.0	155.985	21660.9	8552.736504161465	13108.163495838537	0.18874536785837598	0.6301214529037791	9.782576534879632E-197	3.3151558974137108	0.0	4.134022718175865
29.0	159.7	20524.0	8617.080139245283	11906.919860754717	0.18999473532718203	0.634056323507641	1.4704083710035299E-195	3.332450174666478	0.0	4.1565012335013005
30.0	163.413	20378.0	8681.22535303075	11696.77464696925	0.1912558627052558	0.6380260104095299	2.1892887347895327E-194	3.3498706793063535	0.0	4.179152552421139
31.0	167.123	20743.4	8745.16789658877	11998.232103411232	0.19252855047789796	0.6420298328873812	3.2265592176850763E-193	3.3674138636870907	0.0	4.20197224705237
32.0	170.834	21593.3	8808.903637957997	12784.396362042002	0.19381432858173844	0.64607254764122	4.720742855165922E-192	3.385099967598927	0.0	4.224986843821886
33.0	174.543	22949.6	8872.428565159405	14077.171434840593	0.1951123230047585	0.6501513482585841	6.841865753904919E-191	3.402916090883215	0.0	4.248179762146558
34.0	178.248	23658.2	8935.738794057923	14722.461205942078	0.19642197555038857	0.6542644259697536	9.808770106003374E-190	3.420853757085611	0.0	4.271540158605753
35.0	181.954	23475.6	8998.830581290185	14476.769418709813	0.19774521361291086	0.658417775346096	1.3960315416623074E-188	3.4389384901645865	0.0	4.295101479123593
36.0	185.657	22210.9	9061.700330717438	13149.199669282563	0.19908077679148597	0.6626073796868102	1.9668652682782726E-187	3.457152160387064	0.0	4.31884031686536
37.0	189.36	20319.6	9124.344590968614	11195.255409031384	0.20042991225683815	0.6668370905560354	2.749081913302043E-186	3.475510873032398	0.0	4.342777875845272
38.0	193.059	18844.1	9186.760042164635	9657.339957835364	0.20179132478519413	0.6711027864448377	3.801042900558462E-185	3.49399610264665	0.0	4.366890213876681
39.0	196.759	17947.1	9248.943476378972	8698.156523621026	0.20316702507649392	0.6754107044516118	5.217542761219576E-184	3.512634218555798	0.0	4.391211948083904
40.0	200.458	17931.3	9310.891782258495	8620.408217741504	0.20455645975002026	0.6797590444289894	7.1000681745742555E-183	3.5314167265125342	0.0	4.415732230691544
41.0	204.153	18432.1	9372.601935431627	9059.498064568372	0.2059586664344511	0.6841447313033018	9.558279913637743E-182	3.550329688664897	0.0	4.44043308640265
42.0	207.849	18886.6	9434.070997730872	9452.529002269126	0.20737572149888503	0.6885741927389485	1.2774673191216068E-180	3.5694001328914275	0.0	4.465350047129261
43.0	211.541	18929.3	9495.296121583715	9434.003878416284	0.20880588959654867	0.6930419365684248	1.6890933621596054E-179	3.58860371211466	0.0	4.4904515382796335
44.0	215.234	18579.7	9556.274553942929	9023.425446057072	0.21025129238236673	0.6975545215743573	2.2172469960308493E-178	3.607967904619146	0.0	4.51577371857587
45.0	218.923	17900.9	9617.003636101317	8283.896363898684	0.2117101605574286	0.7021063536099074	2.879528397465973E-177	3.6274679811956916	0.0	4.541284495363028
46.0	222.613	17097.7	9677.480799585936	7420.219200414065	0.21318466236018135	0.7067041260792897	3.71269225447672E-176	3.6471318802656127	0.0	4.567020668705084
47.0	226.299	16640.2	9737.703558762792	6902.496441237208	0.2146729936941336	0.7113421404419386	4.7360520447179294E-175	3.666934482838293	0.0	4.592949616974365
48.0	229.986	16436.9	9797.669502200084	6639.230497799917	0.21617737072544976	0.7160272283438517	5.998021319965918E-174	3.686904197463261	0.0	4.619108796532562
49.0	233.67	16305.1	9857.37628749097	6447.7237125090305	0.21769636818119542	0.7207548740029865	7.520906163077212E-173	3.7070209904295757	0.0	4.645472232613757
50.0	237.354	16231.6	9916.821638620906	6314.778361379094	0.21923142695441528	0.7255294846096227	9.356243227894702E-172	3.7273028299259505	0.0	4.672063741489989
51.0	241.034	16119.1	9976.003344052579	6143.096655947422	0.22078108087361678	0.7303464222731635	1.1516455891082426E-170	3.747729231994815	0.0	4.698856735141595
52.0	244.715	16121.6	10034.919255396453	6086.680744603547	0.22234764619620434	0.7352128064950688	1.407367984957887E-169	3.768329576569468	0.0	4.725890029260741
53.0	248.393	16122.6	10093.567285693955	6029.032714306046	0.2239296415118477	0.7401239523027208	1.7029012064237439E-168	3.789083193375883	0.0	4.753136787190451
54.0	252.069	16040.4	10151.945408853313	5888.454591146687	0.22552770104156514	0.7450817477239875	2.041576104305014E-167	3.8099972534918005	0.0	4.780606702257353
55.0	255.746	16153.0	10210.051659073079	5942.948340926921	0.2271433644240499	0.7500908815996903	2.4300645937010816E-166	3.8310906555195623	0.0	4.808324901543303
56.0	259.419	16097.8	10267.884129436346	5829.915870563653	0.2287746598994211	0.7551451540701646	2.862119017311537E-165	3.8523364273233147	0.0	4.836256241292901
57.0	263.093	16098.7	10325.440972455695	5773.259027544305	0.2304240374091508	0.7602520673602827	3.346858875297442E-164	3.8737652250069368	0.0	4.86444132977637
58.0	266.763	16285.4	10382.72039894286	5902.67960105714	0.2320894852654883	0.7654053026276342	3.872734633314823E-163	3.895349641053931	0.0	4.892844428947053
59.0	270.432	16315.4	10439.720677442157	5875.679322557842	0.2337725872120182	0.7706096711961848	4.443292618719927E-162	3.9171089509731156	0.0	4.921491209381319
60.0	274.101	16427.3	10496.4401355247	5930.8598644753	0.23547405797639526	0.7758672865202351	5.058120143880481E-161	3.9390510353746997	0.0	4.95039237987133
61.0	277.767	16493.2	10552.877159518393	5940.322840481607	0.23719275158117398	0.7811745119152573	5.701785900939716E-160	3.961159778012154	0.0	4.979527041508586
62.0	281.434	16656.3	10609.030195059739	6047.269804940261	0.23893080069834768	0.786537833920642	6.381471883615875E-159	3.9834612283468225	0.0	5.008929862965812
63.0	285.097	16828.2	10664.897747188454	6163.302252811547	0.24068608936973146	0.7919506236297991	7.067941912499814E-158	4.0059268515519015	0.0	5.038563564551432
