	Raman shift	Intensity	Baseline	Corrected Intensity	Curve 1	Curve 2	Curve 3	Curve 4	Curve 5	Fit Sum
0.0	51.3771	6086.89	6509.423280498872	-422.53328049887205	0.0	0.0	7.604229120080969E-85	0.0	0.0	7.604229120080969E-85
1.0	55.1338	6086.89	6574.734792652514	-487.8447926525141	0.0	0.0	2.330268057403768E-84	0.0	0.0	2.330268057403768E-84
2.0	58.889	6951.22	6640.042083698722	311.17791630127795	0.0	0.0	7.115488490455061E-84	0.0	0.0	7.115488490455061E-84
3.0	62.6428	8128.78	6705.336058960578	1423.4439410394216	0.0	0.0	2.1650413324558018E-83	0.0	0.0	2.1650413324558018E-83
4.0	66.395	9092.0	6770.607626872942	2321.392373127058	0.0	0.0	6.5639637519205926E-83	0.0	0.0	6.5639637519205926E-83
5.0	70.1436	10884.3	6835.847710105112	4048.452289894887	0.0	0.0	1.9817584926494977E-82	0.0	0.0	1.9817584926494977E-82
6.0	73.8928	12981.9	6901.047254540304	6080.852745459696	0.0	0.0	5.965668946293959E-82	0.0	0.0	5.965668946293959E-82
7.0	77.6406	15209.0	6966.197246546247	8242.802753453754	4.3E-321	0.0	1.789520009368763E-81	0.0	0.0	1.789520009368763E-81
8.0	81.3868	18741.1	7031.2887332992	11709.811266700799	2.3653E-319	0.0	5.348834009837116E-81	0.0	0.0	5.348834009837116E-81
9.0	85.1315	23481.9	7096.31284440344	16385.58715559656	2.415192E-317	0.0	1.5930932783918808E-80	0.0	0.0	1.5930932783918808E-80
10.0	88.8748	31815.8	7161.260826561353	24654.539173438647	2.41457261E-315	0.0	4.728213056863183E-80	0.0	0.0	4.728213056863183E-80
11.0	92.6144	42149.1	7226.124090331195	34922.97590966881	2.36876287964E-313	0.0	1.397459026144763E-79	0.0	0.0	1.397459026144763E-79
12.0	96.3546	46285.9	7290.894292816615	38995.00570718339	2.292215543607E-311	0.0	4.1182260898676414E-79	0.0	0.0	4.1182260898676414E-79
13.0	100.093	45255.9	7355.5634403510185	37900.33655964898	2.18157786737812E-309	0.0	1.2092324937917531E-78	0.0	0.0	1.2092324937917531E-78
14.0	103.831	36738.6	7420.123929217869	29318.47607078213	2.0455676601570196E-307	0.0	3.5392751539801243E-78	0.0	0.0	3.5392751539801243E-78
15.0	107.564	27939.4	7484.568534703991	20454.83146529601	1.8791939160058172E-305	0.0	1.0312232474680327E-77	0.0	0.0	1.0312232474680327E-77
16.0	111.298	23707.2	7548.890325280967	16158.309674719034	1.7037637039358852E-303	0.0	2.9962190051588765E-77	0.0	0.0	2.9962190051588765E-77
