	Raman shift	Intensity	Baseline	Corrected Intensity	Curve 1	Curve 2	Curve 3	Curve 4	Curve 5	Fit Sum
14.0	103.831	36738.6	7420.123929217869	29318.47607078213	0.2163807933336493	0.40150197221378053	1.6770369282154972E-253	2.3064715021204707	0.06627619506471927	2.9906304627326197
15.0	107.564	27939.4	7484.568534703991	20454.83146529601	0.21775944276369585	0.4039164156928954	4.735634703008641E-252	2.318173262855988	0.06659001663986405	3.006439137952443
16.0	111.298	23707.2	7548.890325280967	16158.309674719034	0.21915168115331177	0.4063533541548749	1.3257906093564863E-250	2.3299674444492497	0.06690615720338457	3.0223786369608208
17.0	115.031	21994.0	7613.08257396869	14380.91742603131	0.22055693220410294	0.4088117465142587	3.6733115657600077E-249	2.3418486395656393	0.06722446868232032	3.0384417869663216
18.0	118.763	21643.2	7677.138715370145	13966.061284629855	0.22197535718539596	0.41129184302919647	1.007233108985373E-247	2.3538176966391022	0.06754497076197745	3.054629867615672
19.0	122.49	22344.3	7741.05232789749	14603.247672102509	0.22340557746500664	0.4137912029438335	2.723705939904575E-246	2.365862497739093	0.06786733613315446	3.0709266142810874
20.0	126.218	24665.7	7804.817129623484	16860.882870376518	0.22485005047559217	0.4163140888373638	7.302313147380253E-245	2.3780032270903506	0.06819210201121595	3.0873594684145225
21.0	129.945	29136.6	7868.426984653367	21268.17301534663	0.22630818102867986	0.41885942651751407	1.9376014144073095E-243	2.3902343241896014	0.06851911635092044	3.1039210480867157
22.0	133.668	32871.9	7931.875925701199	24940.024074298803	0.22777894944927624	0.4214254035937882	5.0749806259922245E-242	2.402546718451241	0.06884813363296002	3.120599205127265
23.0	137.392	33826.9	7995.158198162773	25831.741801837226	0.229264498977951	0.4240157251097153	1.3178921141637438E-240	2.414957806290988	0.06917961554685197	3.137417645925506
24.0	141.115	31838.1	8058.268296834121	23779.831703165877	0.2307642198582337	0.4266292913309472	3.38720293582344E-239	2.4274619091958423	0.06951340699021558	3.1543688273752384
25.0	144.833	27396.1	8121.2009748286955	19274.899025171304	0.23227665623600302	0.4292635315388124	8.586447384568794E-238	2.4400463570775206	0.06984916668044551	3.1714357115327814
26.0	148.553	23978.7	8183.951223058255	15794.748776941746	0.23380483154292353	0.43192367568556855	2.1599565168549035E-236	2.4527357353991426	0.07018754725272493	3.18865178988036
27.0	152.271	22382.0	8246.51422518355	14135.48577481645	0.2353472993250045	0.43460716740567595	5.3731584454720904E-235	2.465517421685191	0.07052820853189345	3.206000096947765
28.0	155.985	21118.9	8308.885322812814	12810.014677187188	0.23690339283249312	0.43731281127936283	1.3195520028719313E-233	2.4783853335449644	0.07087098521878613	3.2234725228756065
29.0	159.7	20281.2	8371.059998909135	11910.140001090866	0.2384753911898079	0.440044532136338	3.2130102426030832E-232	2.4913577193092373	0.07121635995849912	3.2410940025938824
30.0	163.413	19673.8	8433.033864535746	11240.766135464253	0.24006222457889895	0.44280043098778427	7.736926261766136E-231	2.5044251209711335	0.07156407729071708	3.2588518538285336
31.0	167.123	19635.4	8494.802649857278	11140.597350142723	0.24166364289252162	0.4455800354102751	1.8409063012076206E-229	2.517584883590383	0.07191406316899718	3.2767426250621767
32.0	170.834	19733.9	8556.362197446027	11177.537802553974	0.24328157224482405	0.44838664785404264	4.3429931401698345E-228	2.5308521964565345	0.07226671787684334	3.2947871344322444
33.0	174.543	20312.3	8617.70846128026	11694.59153871974	0.24491491387828543	0.4512183201722102	1.013287617164992E-226	2.544217389397862	0.07262178056783099	3.3129724040161888
34.0	178.248	21081.8	8678.837507113609	12402.96249288639	0.2465629663552297	0.45407379680487225	2.334181952973988E-225	2.557674109939543	0.07297907901468781	3.3312899521143327
35.0	181.954	21534.4	8739.745517645622	12794.654482354379	0.24822815612937024	0.4569572396180496	5.331367197564156E-224	2.5712415128484016	0.07333911805532799	3.3497660266511495
36.0	185.657	21381.3	8800.428799605465	12580.871200394535	0.24990889816438963	0.45986586021748393	1.2033201823070581E-222	2.58490600405974	0.07370153305960361	3.3683822955012173
37.0	189.36	20456.8	8860.88378766884	11595.91621233116	0.25160676304690394	0.4628023327211515	2.690692297439285E-221	2.5986796733425526	0.07406664081733533	3.3871554099279435
38.0	193.059	18867.4	8921.107042320155	9946.292957679847	0.2533201218437004	0.46576379595594913	5.940677229870899E-220	2.612548628940643	0.07443406926239174	3.4060666160026845
39.0	196.759	18148.3	8981.09524000298	9167.20475999702	0.2550515061758699	0.4687545802197938	1.3005245793073504E-218	2.626532662296219	0.07480433875885284	3.4251430874507354
40.0	200.458	18238.4	9040.845156623807	9197.554843376194	0.25680022078702996	0.471773435955144	2.8183010445879025E-217	2.640625408068336	0.07517727648806909	3.444376341298579
41.0	204.153	18921.7	9100.35365976117	9821.346340238832	0.2585650555874587	0.4748182284635287	6.030692569915376E-216	2.654816415693177	0.07555260198542164	3.463752301729586
42.0	207.849	19642.7	9159.617708969145	10483.082291030856	0.2603486251123342	0.4778934203901774	1.2795673721861917E-214	2.669125972658461	0.07593084767652236	3.483298865837495
43.0	211.541	19710.2	9218.634362015271	10491.56563798473	0.2621487463890796	0.4809951989494651	2.6809297495445652E-213	2.6835358177723596	0.0763115266666717	3.502991289777576
44.0	215.234	19253.7	9277.40078149791	9976.29921850209	0.26396809113647907	0.4841281178484927	5.569654361303625E-212	2.6980665778162334	0.07669517961494624	3.5228579664161517
45.0	218.923	18244.4	9335.914234931075	8908.485765068926	0.26580443357939915	0.4872882934862906	1.1426485419347445E-210	2.7126997040877425	0.07708131246798053	3.542873743621413
46.0	222.613	17196.1	9394.172089591768	7801.927910408231	0.26766050426364174	0.4904803730656023	2.3244595884973397E-209	2.727456170019032	0.07747047428274964	3.5630675216310252
47.0	226.299	16649.0	9452.171801841838	7196.828198158162	0.269534033543494	0.49370040049313313	4.66969201192575E-208	2.7423171336238426	0.07786216371313212	3.5834137313736014
48.0	229.986	16306.8	9509.910906062407	6796.889093937592	0.27142781249424813	0.4969531189822242	9.302158781232625E-207	2.7573039225400695	0.07825693838249811	3.60394179239904
49.0	233.67	16129.4	9567.387008602878	6562.012991397121	0.27334004830230013	0.5002353935822641	1.831480121100953E-205	2.7724015105369713	0.07865439781328677	3.6246313502348224
50.0	237.354	16056.0	9624.597783781543	6431.402216218457	0.27527255627238845	0.5035502843083455	3.572748567138679E-204	2.7876233912322927	0.07905489259911705	3.6455011244121436
51.0	241.034	15944.2	9681.540971536811	6262.659028463189	0.27722349201783303	0.506894571414464	6.883196295918377E-203	2.8029541995496445	0.079458013871654	3.6665302768535954
52.0	244.715	15971.8	9738.214376121114	6233.585623878886	0.27919577303843307	0.5102731980353068	1.3149700265540913E-201	2.818415995078031	0.07986433691063682	3.687749303062408
53.0	248.393	15837.1	9794.61586441346	6042.484135586541	0.2811875357617004	0.5136829117336879	2.4830797505832053E-200	2.833993272649061	0.08027344931415627	3.7091371694586055
54.0	252.069	15838.9	9850.743365628714	5988.156634371286	0.283199580146323	0.517125023561893	4.638416199883781E-199	2.849691423451245	0.0806854879620325	3.7307015151214937
55.0	255.746	15951.3	9906.594869406577	6044.705130593422	0.2852338462664488	0.520602789152896	8.591959165100146E-198	2.865524642405719	0.08110082024925705	3.752462098074321
56.0	259.419	15914.1	9962.168425268319	5951.931574731681	0.2872878530676063	0.524111904285665	1.5719516325662854E-196	2.8814726929227903	0.08151891028005902	3.7743913605561206
57.0	263.093	15971.2	10017.46214318226	5953.737856817741	0.28936468693803286	0.5276575779084574	2.8518977401761922E-195	2.8975585963808044	0.08194035644247034	3.796521217669765
58.0	266.763	16038.4	10072.474192636026	5965.925807363974	0.29146181647064073	0.5312354231745401	5.110559287793098E-194	2.913761788483294	0.08236461475261272	3.8188236428810876
59.0	270.432	16214.1	10127.202802654614	6086.897197345386	0.29358123753174004	0.5348487807947607	9.067243948219024E-193	2.9300967485525997	0.0827920592617699	3.84131882614087
60.0	274.101	16156.0	10181.646261922278	5974.353738077722	0.29572385188436	0.5384991183998453	1.5940304320195982E-191	2.946569402979957	0.08322283947173528	3.864015212735898
61.0	277.767	16320.6	10235.802919992248	6084.797080007753	0.297888218168973	0.542183911326226	2.770251738344352E-190	2.963167662852237	0.08365663380246634	3.8868964261499026
62.0	281.434	16371.9	10289.671186161278	6082.228813838721	0.30007702388003554	0.5459076634404277	4.7741871414687605E-189	2.9799110954017927	0.08409394800555131	3.909989730727807
63.0	285.097	16480.2	10343.24953057409	6136.95046942591	0.3022876061046089	0.5496657725743905	8.127486934334591E-188	2.9967782877233757	0.08453421720271329	3.933265883605088
64.0	288.758	16650.9	10396.536484197688	6254.3635158023135	0.3045214691100394	0.5534607261119314	1.3688998624885605E-186	3.0137797096050267	0.08497770933107994	3.9567396141580775
65.0	292.42	16646.7	10449.53063936857	6197.169360631431	0.3067807965299969	0.5572961567009485	2.286400195516177E-185	3.030930865532067	0.08542482283146148	3.980432641594474
66.0	296.079	16571.7	10502.230650966867	6069.469349033134	0.3090634694906915	0.561168389974834	3.7754228089165715E-184	3.0482145547800212	0.08587510332282589	4.004321517568372
67.0	299.736	16482.1	10554.635235844398	5927.4647641556	0.31137043584861096	0.5650789583810765	6.1681179839124435E-183	3.065636873829132	0.0863287039213397	4.028414971980159
68.0	303.394	16344.0	10606.743171547667	5737.256828452333	0.31370396021369534	0.5690316189497567	9.993332457397065E-182	3.0832137510538287	0.08678603305337007	4.052735363270651
69.0	307.048	16284.8	10658.55329489782	5626.2467051021795	0.31606121008329946	0.5730214928643376	1.5995217585308716E-180	3.100922694773997	0.08724649938474761	4.077251897106382
70.0	310.701	16157.9	10710.064500088572	5447.835499911427	0.31844446268735843	0.5770523543732721	2.5350642647989878E-179	3.1187796741178535	0.0877105121667493	4.101987003345234
