;Raman shift;Intensity;Baseline;Corrected Intensity
89;379.841;16549.7;12013.739269276384;4535.9607307236165
90;383.465;16147.9;12061.543978949428;4086.356021050571
91;387.088;15901.6;12109.044336701365;3792.5556632986354
92;390.711;15769.3;12156.240441296908;3613.059558703091
93;394.331;15542.3;12203.13242942633;3339.167570573669
94;397.949;15538.8;12249.720473910496;3289.079526089503
95;401.566;15446.4;12296.004780961935;3150.395219038064
96;405.182;15439.6;12341.985589683967;3097.614410316033
97;408.796;15413.2;12387.663170683853;3025.536829316148
98;412.409;15340.0;12433.03782554499;2906.9621744550095
99;416.02;15370.3;12478.109886106155;2892.1901138938447
100;419.63;15416.1;12522.879713275728;2893.2202867242722
101;423.239;15312.1;12567.347696883982;2744.752303116018
102;426.846;15243.4;12611.514255693395;2631.8857443066045
103;430.452;15337.7;12655.379835913958;2682.3201640860425
104;434.056;15267.4;12698.944910074511;2568.455089925488
105;437.659;15241.8;12742.209977527094;2499.590022472905
106;441.26;15365.4;12785.175563308294;2580.2244366917057
107;444.86;15348.0;12827.842217450583;2520.157782549417
108;448.459;15418.2;12870.210515788673;2547.989484211328
109;452.056;15345.6;12912.281059358844;2433.3189406411566
110;455.652;15359.2;12954.054474677265;2405.145525322736
111;459.246;15364.1;12995.53141259329;2368.5685874067112
112;462.839;15351.3;13036.712548007723;2314.5874519922763
113;466.431;15399.7;13077.598579507046;2322.1014204929543
114;470.021;15357.1;13118.190228823607;2238.9097711763934
115;473.609;15339.9;13158.488240910763;2181.4117590892365
116;477.197;15338.4;13198.49338311096;2139.9066168890404
117;480.781;15481.6;13238.206444580754;2243.3935554192467
118;484.365;15525.8;13277.628235875756;2248.171764124243
119;487.948;15437.8;13316.759589985502;2121.040410014497
120;491.53;15513.2;13355.601362381232;2157.5986376187684
121;495.11;15542.4;13394.154429744583;2148.245570255416
122;498.689;15576.1;13432.419690333176;2143.6803096668245
123;502.267;15659.9;13470.398063887082;2189.501936112918
124;505.841;15792.1;13508.090491583158;2284.0095084168424
125;509.416;15793.6;13545.49793649328;2248.10206350672
126;512.989;15826.3;13582.621384529406;2243.6786154705933
127;516.561;15847.7;13619.461844084506;2228.2381559154946
128;520.131;15896.2;13656.020345988338;2240.179654011663
129;523.701;15888.0;13692.297943353038;2195.702056646962
130;527.266;15900.1;13728.29571169253;2171.8042883074704
131;530.833;15769.8;13764.014748477754;2005.7852515222457
132;534.398;15761.1;13799.456172897688;1961.6438271023126
133;537.961;15723.3;13834.621124199148;1888.6788758008515
134;541.521;15608.9;13869.51076124538;1739.3892387546202
135;545.082;15614.7;13904.126261786409;1710.5737382135922
136;548.642;15494.2;13938.468820966144;1555.7311790338572
137;552.198;15370.7;13972.539651034225;1398.1603489657755
138;555.754;15312.8;14006.3399797976;1306.4600202023994
139;559.309;15275.7;14039.871049044812;1235.8289509551887
140;562.863;15222.6;14073.134113629;1149.465886371001
141;566.414;15033.6;14106.130440761577;927.4695592384232
142;569.965;14990.7;14138.861309148615;851.8386908513858
143;573.515;15083.9;14171.32800677087;912.5719932291304
144;577.061;14997.1;14203.531830127466;793.5681698725348
145;580.608;15040.4;14235.474084843247;804.925915156753
146;584.153;15058.7;14267.156084478731;791.5439155212698
147;587.695;15151.6;14298.579150643698;853.0208493563023
148;591.238;15129.6;14329.74461286336;799.8553871366403
149;594.778;15124.7;14360.653809193129;764.0461908068719
150;598.318;15164.4;14391.308085686966;773.0919143130341
151;601.856;15330.1;14421.70879603929;908.3912039607112
152;605.392;15291.2;14451.857301675429;839.3426983245718
153;608.928;15345.9;14481.754973104627;864.1450268953722
154;612.46;15388.4;14511.403189229552;876.9968107704481
155;615.993;15576.6;14540.803337594312;1035.796662405688
156;619.523;15615.6;14569.956814512992;1045.643185487008
157;623.053;15624.9;14598.865026657624;1026.0349733423755
158;626.58;15688.7;14627.529391156675;1061.1706088433257
159;630.108;15687.9;14655.951335398957;1031.9486646010428
160;633.632;15778.3;14684.132297384987;1094.1677026150119
161;637.157;15822.6;14712.073725434764;1110.5262745652362
162;640.679;15788.7;14739.777078809953;1048.9229211900474
163;644.201;15822.1;14767.243827877477;1054.8561721225233
164;647.72;15755.2;14794.475453493485;960.7245465065153
165;651.239;15754.7;14821.473447062674;933.2265529373271
166;654.756;15816.2;14848.239309596982;967.9606904030188
167;658.272;15837.7;14874.774551440605;962.9254485593956
168;661.786;16019.3;14901.080692617334;1118.2193073826656
169;665.3;16065.4;14927.159262780197;1138.2407372198031
170;668.81;16041.3;14953.011802764404;1088.2881972355954
171;672.32;16242.7;14978.63986478757;1264.0601352124304
172;675.83;16265.8;15004.045011950178;1261.754988049821
173;679.336;16390.7;15029.228819993303;1361.471180006698
174;682.843;16234.7;15054.192877275558;1180.5071227244425
175;686.347;16438.8;15078.938785770253;1359.861214229746
176;689.85;16545.9;15103.46815925577;1442.4318407442315
177;693.353;16679.4;15127.78262510908;1551.6173748909223
178;696.853;16617.4;15151.883825131466;1465.516174868535
179;700.351;16791.1;15175.773416640379;1615.3265833596197
180;703.85;16884.0;15199.453071608425;1684.5469283915754
181;707.346;16815.1;15222.924478161473;1592.175521838526
182;710.84;16960.8;15246.189341270858;1714.6106587291415
183;714.335;16988.9;15269.249381829666;1719.6506181703353
184;717.827;17161.8;15292.106337877087;1869.6936621229124
185;721.317;17110.2;15314.761964648811;1795.4380353511897
186;724.808;17158.6;15337.21803607745;1821.3819639225494
187;728.296;17230.1;15359.476344049988;1870.6236559500103
188;731.782;17291.7;15381.538698667227;1910.1613013327733
189;735.267;17330.7;15403.406928736204;1927.2930712637972
190;738.753;17349.7;15425.08288216556;1924.6171178344412
191;742.235;17399.3;15446.568426136864;1952.731573863135
192;745.716;17494.4;15467.865447077855;2026.5345529221468
193;749.196;17578.2;15488.975850943585;2089.2241490564156
194;752.674;17625.6;15509.901563954447;2115.6984360455517
195;756.153;17642.8;15530.644533223067;2112.1554667769324
196;759.628;17790.6;15551.206727019047;2239.393272980951
197;763.102;17931.1;15571.590134733524;2359.5098652664747
198;766.575;18242.7;15591.796768151566;2650.903231848435
199;770.047;18531.7;15611.828662653332;2919.871337346669
200;773.517;18839.4;15631.687880128005;3207.712119871996
201;776.988;18958.0;15651.376511663479;3306.6234883365214
202;780.456;18798.7;15670.896680424752;3127.8033195752487
203;783.922;18784.8;15690.250542643053;3094.5494573569467
204;787.387;18756.8;15709.440285827637;3047.359714172362
205;790.85;18798.6;15728.468128433251;3070.1318715667476
206;794.312;18921.0;15747.336319388227;3173.663680611773
207;797.773;18972.6;15766.047138322194;3206.5528616778047
208;801.233;18955.9;15784.602896601411;3171.2971033985905
