	Raman shift	Intensity	Baseline	Corrected Intensity	Curve 1	Curve 2	Curve 3	Curve 4	Curve 5	Fit Sum
47.0	226.299	16640.2	9737.703558762792	6902.496441237208	4.062E-320	0.0	5.693965692616284E-53	0.0	0.0	5.693965692616284E-53
48.0	229.986	16436.9	9797.669502200084	6639.230497799917	7.555267E-318	0.0	1.2679397011451826E-52	0.0	0.0	1.2679397011451826E-52
49.0	233.67	16305.1	9857.37628749097	6447.7237125090305	1.327032114E-315	0.0	2.8145417592617057E-52	0.0	0.0	2.8145417592617057E-52
50.0	237.354	16231.6	9916.821638620906	6314.778361379094	2.2882314574E-313	0.0	6.231971788808638E-52	0.0	0.0	6.231971788808638E-52
51.0	241.034	16119.1	9976.003344052579	6143.096655947422	3.8530625851364E-311	0.0	1.375241261356709E-51	0.0	0.0	1.375241261356709E-51
52.0	244.715	16121.6	10034.919255396453	6086.680744603547	6.38019188613026E-309	0.0	3.0278637676289286E-51	0.0	0.0	3.0278637676289286E-51
53.0	248.393	16122.6	10093.567285693955	6029.032714306046	1.0331849632455098E-306	0.0	6.645477874218883E-51	0.0	0.0	6.645477874218883E-51
54.0	252.069	16040.4	10151.945408853313	5888.454591146687	1.6385353575859731E-304	0.0	1.4542651191558702E-50	0.0	0.0	1.4542651191558702E-50
55.0	255.746	16153.0	10210.051659073079	5942.948340926921	2.5554408191426906E-302	0.0	3.17516617632533E-50	0.0	0.0	3.17516617632533E-50
56.0	259.419	16097.8	10267.884129436346	5829.915870563653	3.892563155456405E-300	0.0	6.909315454937519E-50	0.0	0.0	6.909315454937519E-50
57.0	263.093	16098.7	10325.440972455695	5773.259027544305	5.831044168984829E-298	0.0	1.500065649718126E-49	1.999E-320	0.0	1.500065649718126E-49
58.0	266.763	16285.4	10382.72039894286	5902.67960105714	8.531919522395003E-296	0.0	3.245901497178914E-49	1.719294E-318	0.0	3.245901497178914E-49
59.0	270.432	16315.4	10439.720677442157	5875.679322557842	1.2243989439279209E-293	0.0	7.004650509917155E-49	1.04557176E-316	0.0	7.004650509917155E-49
60.0	274.101	16427.3	10496.4401355247	5930.8598644753	1.7257027327285422E-291	0.0	1.5078396573108255E-48	6.32233042E-315	0.0	1.5078396573108255E-48
61.0	277.767	16493.2	10552.877159518393	5940.322840481607	2.3791854033800544E-289	0.0	3.235716604660092E-48	3.76663801115E-313	0.0	3.235716604660092E-48
62.0	281.434	16656.3	10609.030195059739	6047.269804940261	3.2258980003202176E-287	0.0	6.927796669071011E-48	2.220967425118E-311	0.0	6.927796669071011E-48
63.0	285.097	16828.2	10664.897747188454	6163.302252811547	4.2730237496180905E-285	0.0	1.4783580894223408E-47	1.28894203052744E-309	0.0	1.4783580894223408E-47
64.0	288.758	16818.9	10720.478381416942	6098.421618583059	5.5444715431480525E-283	0.0	3.1456209754515816E-47	7.379087232239923E-308	0.0	3.1456209754515816E-47
65.0	292.42	16949.7	10775.770724890624	6173.929275109376	7.075546354984738E-281	0.0	6.6779712263485365E-47	4.181117745283166E-306	0.0	6.6779712263485365E-47
66.0	296.079	16872.7	10830.773465739137	6041.926534260863	8.83366426583056E-279	0.0	1.4133114092103752E-46	2.334487706786096E-304	0.0	1.4133114092103752E-46
67.0	299.736	16913.7	10885.485353831398	6028.2146461686025	1.0804179560618416E-276	0.0	2.982480051100014E-46	1.2858425748773838E-302	0.0	2.982480051100014E-46
68.0	303.394	16700.1	10939.905199455583	5760.194800544416	1.2996556956230865E-274	0.0	6.279572844904361E-46	7.0098911530815905E-301	0.0	6.279572844904361E-46
69.0	307.048	16615.8	10994.03187318201	5621.7681268179895	1.5276245164360127E-272	0.0	1.3178162960726906E-45	3.761789584950623E-299	0.0	1.3178162960726906E-45
70.0	310.701	16544.3	11047.864303182942	5496.435696817058	1.7614581208087566E-270	0.0	2.758153108185405E-45	1.993736307997866E-297	0.0	2.758153108185405E-45
71.0	314.353	16421.9	11101.40147384831	5320.498526151692	1.992515914745027E-268	0.0	5.757334662490266E-45	1.0436021920134927E-295	0.0	5.757334662490266E-45
72.0	318.005	16378.3	11154.642424532392	5223.657575467607	2.213963926981357E-266	0.0	1.1988149254201762E-44	5.400935428091987E-294	0.0	1.1988149254201762E-44
73.0	321.653	16380.9	11207.586247794454	5173.313752205546	2.404089225189255E-264	0.0	2.4880737416832085E-44	2.751696756504556E-292	0.0	2.4880737416832085E-44
74.0	325.3	16390.2	11260.232088430332	5129.967911569669	2.5611322782168686E-262	0.0	5.150125085016534E-44	1.3846619477304588E-290	0.0	5.150125085016534E-44
75.0	328.948	16380.0	11312.579142968996	5067.420857031004	2.6836550125317905E-260	0.0	1.06362612882635E-43	6.896548115650591E-289	0.0	1.06362612882635E-43
76.0	332.592	16472.0	11364.62665923909	5107.373340760911	2.7483694641072836E-258	0.0	2.189507939763332E-43	3.3817722325854665E-287	0.0	2.189507939763332E-43
77.0	336.235	16512.0	11416.37393574345	5095.62606425655	2.7615204584331585E-256	0.0	4.495217385476342E-43	1.6378848638252517E-285	0.0	4.495217385476342E-43
78.0	339.876	16641.4	11467.820322058651	5173.57967794135	2.718980595585769E-254	0.0	9.202738553364343E-43	7.826945532584174E-284	0.0	9.202738553364343E-43
79.0	343.516	16833.1	11518.965218717522	5314.134781282477	2.6266706840034225E-252	0.0	1.8790245732461985E-42	3.694353617904989E-282	0.0	1.8790245732461985E-42
80.0	347.157	17053.0	11569.808077988679	5483.191922011321	2.4959591918783003E-250	0.0	3.8279579975110864E-42	1.7260031129086758E-280	0.0	3.8279579975110864E-42
81.0	350.794	17234.4	11620.34840528209	5614.051594717912	2.3184361638781005E-248	0.0	7.773169387252897E-42	7.939900504042305E-279	0.0	7.773169387252897E-42
82.0	354.43	17557.2	11670.585760839635	5886.614239160366	2.113088910383074E-246	0.0	1.5742775720255776E-41	3.6077842682843887E-277	0.0	1.5742775720255776E-41
83.0	358.064	17662.8	11720.519761043704	5942.280238956295	1.8874519655978153E-244	0.0	3.179316164123744E-41	1.6175893888420313E-275	0.0	3.179316164123744E-41
84.0	361.697	17811.0	11770.150081142823	6040.849918857177	1.654306334831193E-242	0.0	6.403842985498007E-41	7.164052985201573E-274	0.0	6.403842985498007E-41
85.0	365.33	17695.9	11819.476455808315	5876.423544191686	1.4245436620600706E-240	0.0	1.286726733693481E-40	3.137380732323674E-272	0.0	1.286726733693481E-40
86.0	368.96	17540.8	11868.49868011999	5672.301319880009	1.200789860592435E-238	1.8318E-319	2.5776368729914435E-40	1.3543915222856413E-270	0.0	2.5776368729914435E-40
87.0	372.588	17218.4	11917.21660792189	5301.183392078112	9.92055659358366E-237	4.329591E-317	5.149110614985109E-40	5.769661405404139E-269	0.0	5.149110614985109E-40
88.0	376.215	16861.9	11965.630149781062	4896.26985021894	8.043049760713123E-235	1.0047241944E-314	1.0258926673943646E-39	2.427955293018101E-267	0.0	1.0258926673943646E-39
89.0	379.841	16549.7	12013.739269276384	4535.9607307236165	6.399226666636284E-233	2.281736671166E-312	2.0385986060880602E-39	1.0092978004169122E-265	0.0	2.0385986060880602E-39
90.0	383.465	16147.9	12061.543978949428	4086.356021050571	4.9904712547640963E-231	5.06307278866255E-310	4.0396215246209504E-39	4.140433837076005E-264	0.0	4.0396215246209504E-39
91.0	387.088	15901.6	12109.044336701365	3792.5556632986354	3.8193945086642346E-229	1.0993880477967042E-307	7.983844273121033E-39	1.6779205036085494E-262	0.0	7.983844273121033E-39
92.0	390.711	15769.3	12156.240441296908	3613.059558703091	2.872165819300218E-227	2.3395085840492806E-305	1.5740842151828942E-38	6.724216501342132E-261	0.0	1.5740842151828942E-38
93.0	394.331	15542.3	12203.13242942633	3339.167570573669	2.1146691337457686E-225	4.8575612536411845E-303	3.0941800918828096E-38	2.656657410701096E-259	0.0	3.0941800918828096E-38
94.0	397.949	15538.8	12249.720473910496	3289.079526089503	1.5262470037371682E-223	9.855761900209177E-301	6.065242840872219E-38	1.0358672355296343E-257	0.0	6.065242840872219E-38
95.0	401.566	15446.4	12296.004780961935	3150.395219038064	1.081134752005229E-221	1.956991709040037E-298	1.1858175768714672E-37	3.990185414561776E-256	0.0	1.1858175768714672E-37
96.0	405.182	15439.6	12341.985589683967	3097.614410316033	7.516466909644108E-220	3.802961055704E-296	2.3123604284922934E-37	1.518471020542435E-254	0.0	2.3123604284922934E-37
97.0	408.796	15413.2	12387.663170683853	3025.536829316148	5.123026700072218E-218	7.222155777632192E-294	4.4965790053805016E-37	5.703130997212808E-253	0.0	4.4965790053805016E-37
98.0	412.409	15340.0	12433.03782554499	2906.9621744550095	3.427166754159514E-216	1.3423483780257913E-291	8.721259505549078E-37	2.1161932973022752E-251	0.0	8.721259505549078E-37
99.0	416.02	15370.3	12478.109886106155	2892.1901138938447	2.247728368611892E-214	2.4383713041060644E-289	1.6868177034887372E-36	7.750042708607668E-250	0.0	1.6868177034887372E-36
100.0	419.63	15416.1	12522.879713275728	2893.2202867242722	1.4469881657223254E-212	4.3351800909403376E-287	3.2540910178618825E-36	2.8041335504200806E-248	0.0	3.2540910178618825E-36
101.0	423.239	15312.1	12567.347696883982	2744.752303116018	9.14334264619779E-211	7.543873323592391E-285	6.261302949702512E-36	1.0024047912944486E-246	0.0	6.261302949702512E-36
102.0	426.846	15243.4	12611.514255693395	2631.8857443066045	5.664667116959633E-209	1.2830736249642359E-282	1.2014225045634158E-35	3.5368206882860143E-245	0.0	1.2014225045634158E-35
103.0	430.452	15337.7	12655.379835913958	2682.3201640860425	3.444922463806888E-207	2.1360330938649483E-280	2.299336876508816E-35	1.2329443353428847E-243	0.0	2.299336876508816E-35
104.0	434.056	15267.4	12698.944910074511	2568.455089925488	2.0541628833583884E-205	3.475828987596043E-278	4.388421866660564E-35	4.2424106590715815E-242	0.0	4.388421866660564E-35
105.0	437.659	15241.8	12742.209977527094	2499.590022472905	1.202382771843771E-203	5.536397801145309E-276	8.353957312999776E-35	1.442291777075105E-240	0.0	8.353957312999776E-35
106.0	441.26	15365.4	12785.175563308294	2580.2244366917057	6.901157655871554E-202	8.620138747396117E-274	1.5859078717798432E-34	4.840003625671691E-239	0.0	1.5859078717798432E-34
107.0	444.86	15348.0	12827.842217450583	2520.157782549417	3.888394871992254E-200	1.3138292478971595E-271	3.0029222676782357E-34	1.604796955516815E-237	0.0	3.0029222676782357E-34
108.0	448.459	15418.2	12870.210515788673	2547.989484211328	2.1507714739861412E-198	1.9602366570595135E-269	5.671416300072056E-34	5.25751277553312E-236	0.0	5.671416300072056E-34
109.0	452.056	15345.6	12912.281059358844	2433.3189406411566	1.1665915807807312E-196	2.859103103055501E-267	1.0681809734559364E-33	1.7002444322012484E-234	0.0	1.0681809734559364E-33
110.0	455.652	15359.2	12954.054474677265	2405.145525322736	6.2120601217860996E-195	4.082397178209967E-265	2.0066968296186395E-33	5.432989591554662E-233	0.0	2.0066968296186395E-33
